Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name,album,cleaned_lyrics,position
ode to the sun,0,0.08,0.12,0.32,0.12,0.36,Angry,Dredg,Catch Without Arms,but ill move those clouds away letting the sun shine through in this ode to you let the demons have their place if so its angels youll create and disguised within the dark light will wait my heart i owe you my soul will you please accept please accept this honor this is all for you transcend we flip towards the sun wheels skidding on the road a flowing sea of red the whole city groans my heart i owe you my soul you might also likewill you please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco rubberneck passing motorists a mangled tuna can car rests repair this tattered skin hold it in your hand youve already glistened through the window youve already set us all free free please accept please accept this honor this is all for you transcend will you please accept please accept its over this is all for you transcend fiasco,1
same ol' road,0,0.12,0,0.17,0.21,0.5,Angry,Dredg,El Cielo,down that same old road again sympathy unfolds the shell that holds all the beauty within here we go down that same old road again a memory a regret a hope here we go down that same old road again empathy controls the wind that blows and tickles our skin a memory a regret a hope a stimulus recent it seems we must push on we must push on though we bleed we must push on we must push on you might also likeall you need is a modest house in a modest neighborhood in a modest town where honest people dwell making the cleanest energy for the greenest plants to grow the richest soil that is drenched with the freshest rain then you should sit in your backyard watch clouds peak over the tallest mountain tops cause they unveil honest opinions about the stars we must push on we must push on recent it seems we must push on we must push on though we bleed we must push on we must push on all you need is a modest house in a modest neighborhood,2
convalescent,0.01,0.09,0.09,0.27,0.18,0.36,Angry,Dredg,El Cielo,resting gray hairs on wrinkled arms with nothing but a stool to hold up his back skinny legs with japanese mileage crossed at the ankles hes unaware maybe youve never seen it maybe youve never been through it its the only way to understand it unaware of his surroundings youth it passed swarming like wolves to a fresh kill the scent attracts hes just scared about dying maybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave your severed view of it its the only way to understand it to believe that to think back to realize that those sad days have come to an end where are those where they all have been gone you might also likemaybe youve never seen it maybe youve never been through it its the only way to understand it save your clever statements brave yourself if you want in its the only way to understand it to understand it,3
sang real,0,0.2,0.07,0.33,0.13,0.27,Angry,Dredg,Catch Without Arms,im the lawyer in the tower im the body with the coroner no the leader with all the power youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end im a local but a foreigner still the addict yet im sober still the body with the coroner many friends yet still a loner youre the pillow the cool side the sand during high tide the cocktail poolside the water when clouds collide from the inside out we were formed and from the inside out we will fall soon this all will come to an end soon this all will come to an endyou might also like,4
information,0,0.02,0.05,0.4,0.21,0.31,Angry,Dredg,"The Pariah, the Parrot, the Delusion",youre suffering i feel your pain allow me to be your sponge cause i can absorb your sorrows im the one fire may rain down on you but ill be your water waves may crash on you but ill be your land cause i want to give you just a temporary bliss  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it  so shed your pain well ill sit in silence as you bleed your deepest feelings here feelings here quakes may rattle you but ill be your sky sky winds may twist around you but ill be your clouds  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it you might also like he woke up next to her his head against her head his hand upon her breast he knew today meant death he kissed her on the cheek and then on her lips thought to himself: its the last time ill do this put on a suit pressed and clean then brushed his hair grabbed his keys then he headed out to the morning air with an anticipation no man could bear  the air was heavy he could feel it in his lungs with every step he took a prayer rolled off his tongue they were prayers of forgiveness and prayers of praise and his actions a gift for a god without a name  just a little bit just a little bit a little more information to add to my confusion to add to the frustration i dont need it no i dont need it,5
the canyon behind her,0,0,0.06,0.29,0.06,0.59,Angry,Dredg,El Cielo,does anybody feel this way does anybody feel like i do does anybody feel this way does anybody feel like i do i built a wall it stretched one thousand miles set it off massacre its holding up the roof breast feed your heart set it off i saw a distant port with no water to support burning the bridge between never content nor satisfied tensions of self the massacre changed history borderline paranoia yelling at their own rights set it off you might also likedoes anybody feel this way does anybody feel like i do though half of me is gone the lonesome heart is there i cannot find the other half i cannot find the other half i cannot find the other half i cannot find the other half,6
whoa is me,0.02,0,0.04,0.52,0.16,0.28,Angry,Dredg,El Cielo,are the circular memories infect your conscience they are the make up of your worries regrets and doubts elective betrayal of your person radiates confidence shine with silence and shadow the ones below this drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow theres one more thing i forgot to tell you worries and doubts will only help you in the long run youll shadow the ones below you might also likethis drought is leaving me with cracked soil and brown leaves floating on a dry lake bed with a dry mouth and a foggy head waiting for the snow when the water comes i will overflow i will overflow and when the water comes i will overflow,7
sanzen,0.005,0.31,0.08,0.31,0.08,0.23,Angry,Dredg,El Cielo,i cant even concentrate on this its over thought anticipated the pen ink is running dry its been thrown to paper and wasted creativity has been blocked and over tasted maybe in time ill appreciate it  hold on hold on well be with you soon  these papers are stuck in this book until theyre torn out and pasted to the inside of my memory where i can later look and see them in a new gallery where they can later be viewed and appreciated  hold on hold on well be with you soon well be with you soon  longing for what has been lost longing for what hasnt been obtained its a small cost forgot the past lost the future only now remains you might also like hold on hold on well be with you soon well be with you,8
saviour,0.015,0,0.09,0.3,0.04,0.57,Angry,Dredg,"The Pariah, the Parrot, the Delusion",it makes me wish i was a banger id come and retaliate i tend to avoid impulsive gangster attitudes cause they will blind you  its gonna eat you up its gonna drag you down gonna get all that you ask for affected many lives left a void so wide gonna get all that you want  looking for a saviour not one who saves been looking for a saviour one to retaliate  theres no need for forgiveness its already said and done but dont let revenge consume and take hold of you cause it will blind you you might also like its gonna eat him up its gonna drag him down hes gonna get all that he asked for affected many lives left a void so wide gonna get all that he wants  looking for a saviour not one who saves been looking for a saviour one to retaliate  open up open up open up open up  you affected many lives you left a void so wide gonna get all that you ask for its gonna eat you up its gonna drag you down youre gonna get all that you want  looking for a saviour not one who saves been looking for a saviour one to retaliate  youve sworn to retaliate one to retaliate open up open up open up open up,9
not that simple,0.01,0,0.08,0.08,0.18,0.67,Angry,Dredg,Catch Without Arms,watch me crawl on my stubs throw me to the streets watch me fall on down head first its not that simple ive needed this from the start to guide my way youll be okay its made life simple ive needed this from the start to wake up if all else fails if all turns to dust set sail on a ship built from trust if all else fails and all starts to rust set sail on a ship built for us its time to retreat i sawed it down to the bone the canyons are too deep yeah decided to run like a child decided to run to rescue it took too long to wake up you might also likeif all else fails if all turns to dust set sail on a ship built from trust if all else fails and all starts to rust set sail on a ship built for us its not that simple needed this from the start to guide my way youll be okay its made life simple ive needed this from the start to wake up if all else fails if all turns to dust set sail on a ship built from trust if all else fails and all starts to rust set sail on a ship built for us for us for us,10
