Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name,album,cleaned_lyrics,position
elephant,0,0.13,0.07,0.4,0.2,0.2,Happy,Tame Impala,Lonerism,well he feels like an elephant shaking his big grey trunk for the hell of it he knows that youre dreamin about being loved by him too bad your chances are slim and its not like mr. shuck to get shy when they ask him who is on top there must be something deep down in the dark down there but hes not too easily scared hes got friends but they got the fear wouldnt care too much if he just disappeared oh look hey there he is now coming down the stairs here he comes  he pulled the mirrors off his cadillac yeah cause he doesnt like it looking like he looks back he talks like his opinion is a simple fact somebody grabbed his collar he cried the whole way home no one remembered a thing when they saw him again thats how it is til the end yeah you might also like,1
solitude is bliss,0,0.39,0,0.18,0.18,0.25,Happy,Tame Impala,Innerspeaker,cracks in the pavement underneath my shoe i care less and less about it and less about you no one else around to look at me so i can look at my shadow as much as i please  all the kicks that i cant compare to making friends like youre all supposed to  oh you will never come close to how i feel you will never come close to how i feel  space around me where my soul can breathe off guard body that my mind can leave nothing else matters i dont care what i miss companys okay solitude is bliss  theres a party in my head and no one is invited  and you will never come close to how i feel you will never come close to how i feel you might also like movement doesnt flow quite like it does when im alone ill be the one thats free you and all your friends can watch me today dont ask me how youre supposed to feel you will never come close to how i feel you will never come close to how i feel you will never come close to how i feel you will never come close to how i feel,2
mind mischief,0,0.27,0.06,0.06,0.33,0.27,Happy,Tame Impala,Lonerism,feels like my life is ready to blow me and my love well take it slow i hope she knows that ill love her long i just dont know where the hell i belong no no how optimism led me astray two hundred things i took the wrong way but i saw her love gauge runnin low i tried to fill but it overflowed  feels like my life is ready to blow me and my lover taking it slow i hope she knows that ill love her long i just dont know where the hell i belong  she remembers my name could be blown way out its all going to change she remembers my name  but she was only messing around please no more playing with my heart ooh go mr. right just for once then it all just came out ooh no more mischief with my mind guess ill hold in next time you might also like no more gettin it wrong ill be frozen here on if forever well see no more guessin for me  oh i was just so sure of everything oh thats what you get for dreamin aloud then it all just came out  guess ill hold in now on  if forever well see oh the day that words are clearer for me but no more guessing for me,3
cause im a man,0,0.25,0.04,0.33,0.08,0.29,Happy,Tame Impala,Currents,like the brutal morning sun it dawns on me what have i done saying sorry aint as good as saying why but it buys me a little more time lost in the moment for the second time each fuck up that i make that makes you cry im as pathetic as the reason why in desperation all that you can do is ask me why  ‘cause im a man woman dont always think before i do ‘cause im a man woman thats the only answer i got for you uh ‘cause im a man woman not often proud of what i choose im a human woman a greater force i answer to  once again as it takes a hold i am aware not in control you see i have a conscience and its never fooled but its prone to be overruled you wanna know why i always think i’m right  why  you never accept defeat and let it slide why  i have no voice if i don’t speak my mind why  my weakness is the source of all my pride ill tell you why you might also like ‘cause im a man woman dont always think before i do ‘cause im a man woman its the only answer i got for you uh ‘cause im a man woman not often proud of what i choose im a human woman a greater force i answer to ill never be as strong as you im a human human a greater force i answer to uh,4
it is not meant to be,0,0.25,0,0.29,0.17,0.29,Happy,Tame Impala,Innerspeaker,i wanted her i wanted her but she doesnt like the life that i lead she doesnt like the life that i lead doesnt like sand stuck on her feet or sittin around smokin weed i must seem more like a friend in need and i boast that it is meant to be  but in all honesty i dont have a hope in hell im happy just to watch her move and in all honesty i dont have a hope in hell im happy just to watch her move  and she doesnt like the friends that i make doesnt make friends for friendships sake she just gets bored sitting by the lake her soul wont surface and her heart wont ache and i boast that it is meant to be  but in all honesty i dont have a hope in hell im happy just to watch her move you might also like and i thought they could cure his disease  but in all honesty he didnt have a hope in hell now well never see him move,5
on track,0.01,0.14,0.06,0.28,0.08,0.44,Happy,Tame Impala,Slow Rush,i close my front door and turn on the light i let out a breath and hold in a sigh aint nothin new aint that much in sight and if im counting days dream fruition aint what its looking like  but strictly speaking im still on track strictly speaking im holding on more than a minor setback but strictly speaking im still on track and all of my dreams are still in sight cause strictly speaking ive got my whole life i lost a wheel a while back but strictly speaking im still on track challenges falling in my lap strung out again but still on track  i know its unrealistic over optimistic i know i tried before this i know its nearly august i know i cant ignore this looking forward to all this sayin babe i just adore this and babe can we afford this i know its been a slow year nothin much to show here i didnt really go for it so not a lot to show for it you might also like the hardest part is over adjusting makes it slower so glad youre comin over a wall to bring us closer the world aint waitin for ya nothin to lose it over were just a little older the rest comes easy the rest comes easy cause lifes like that but strictly speaking im still on track strictly speaking im holding back troubles keep falling in my lap yeah but strictly speaking im still on track so tell everyone ill be alright cause strictly speaking ive got my whole life more than one major setback but strictly speaking im still on track yeah the hardest part is over adjusting makes it slower ooh so glad youre comin over a wall to bring us closer still on track motherfucker the world aint waitin for ya nothin to lose it over were just a little older the rest gets easy the rest gets easy,6
lost in yesterday,0.01,0.14,0.04,0.5,0.07,0.25,Happy,Tame Impala,Slow Rush,when we were livin in squalor wasnt it heaven back when we used to get on it four out of seven now even though that was a time i hated from day one eventually terrible memories turn into great ones  so if they call you embrace them if they hold you erase them  cause it mightve been somethin whos to say does it help to get lost in yesterday and you mightve missed somethin dont say cause it has to be lost in yesterday and youre gonna have to let it go someday youve been diggin it up like groundhog day cause it mightve been somethin dont say cause it has to be lost in yesterday  matty said life didnt go the way that he planned it said oh what id give to start over boy id command it so what was i ever afraid of why did i worry and why was i ever so brainless head in a flurry you might also like cause if they call you embrace them if they stall you erase them  cause it mightve been somethin whos to say does it help to get lost in yesterday and you mightve missed somethin dont say cause it has to be lost in yesterday and youre gonna have to let it go someday youve been diggin it up like groundhog day cause it mightve been somethin dont say cause it has to get lost in yesterday  if it calls you embrace it if it haunts you face it  i know its mad i understand its only snakes and ladders the myriad you never had theres only one that matters  and if it calls you embrace it if it holds you erase it replace it,7
one more year,0.02,0.13,0,0.16,0.03,0.68,Happy,Tame Impala,Slow Rush,do you remember we were standing here a year ago our minds were racing and time went slow if there was trouble in the world we didnt know if we had a care it didnt show but now i worry our horizons bear nothing new cause i get this feeling and maybe you get it too were on a rollercoaster stuck on its loop de loop cause what we did one day on a whim has slowly become all we do  i never wanted any other way to spend our lives i know we promised wed be doing this til we die and now i fear we might ooh now i fear we might  but its okay i think theres a way why dont we just say one more year  one more year not worryin if i get the right amount of sleep one more year not carin if we do the same thing every week one more year of livin like im only livin for me one more year of never talkin about where were gonna be one more year one more year of livin like the free spirit i wanna be you might also like we got a whole year one more year fifty two weeks seven days each one more year four seasons one reason one way one year one more year  one year one year from today from today  i never wanted any other way to spend our lives now one of these is gonna be the last for all time for all time one more year,10
lucidity,0.015,0.08,0.23,0.23,0.15,0.31,Happy,Tame Impala,Innerspeaker,i know where you went but i dont know how you got there i know where you went but i dont know how you got there silver tongue hill where you talk up what id play down i would speak up but i wouldnt know what to say oh to say  lucidity come back to me put all five senses back to where theyre meant to be oh its hard to tell breaks down there is a will there is a way  wandering around like spare time never knew it i might suck fizzle or i might just float away float away and well go running off tonight high above where we wont even need to reach the sky my love oh there will be a change in the air nobody will be anybody else  lucidity come back to me put all five senses back to where theyre meant to be oh where well go tiptoe tread boldly right down to the lairyou might also like,11
breathe deeper,0.04,0.09,0.09,0.53,0.12,0.16,Happy,Tame Impala,Slow Rush,if you think i couldnt hold my own believe me i can believe me i can believe me i can if it aint so awful and were all together i can believe me i can believe me i can if you think i couldnt roll with you believe me i can believe me i can believe me i can if ideally we should feel like this forever i can believe me i can believe me i can and she said seems youre coming on breathe a little deeper should you need to come undone and let those colours run and she said now youre having fun so do this and get through this and come find me when youre done so we can be as one  if you think i couldnt hold my own believe me i can believe me i can believe me i can if you need someone to tell you that youre special i can believe me i can believe me i can if you need someone to carry on believe me i can believe me i can believe me i can if you think no one is feeling what youre feeling i am believe me i am believe me i am you might also like and the groove is low and she said seems youre coming on breathe a little deeper should you need to come undone and let those colours run now youre having fun so do this and get through this and the groove is low and come find me when youre done so we can be as one  telemona telemona oh and the groove is low telemona and the groove is low  seems youre coming on breathe a little deeper should you need to come undone telemona and let those colours run now youre having fun telemona do this and get through this and until we see the sun and the groove is low youre my number one  telemona and she said and the groove is low telemona and the groove is low  were both adults while we behave like children long as we got enough to keep on living telemona telemona,12
