artist,title,lyrics,cleaned_lyrics,happy,angry,surprise,sad,fear,scores,compound,comp_score
Lord Huron,The Night We Met (Remix),"44 ContributorsTranslationsDeutschThe Night We Met (Remix) Lyrics[Intro]
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)

[Verse 1: Ben Schneider, Ben Schneider & Phoebe Bridgers]
I am not the only traveler
Who has not repaid his debt
I've been searching for a trail to follow again
Take me back to the night we met
And then I can tell myself
What the hell I'm supposed to do
And then I can tell myself
Not to ride along with you

[Chorus: Ben Schneider & Phoebe Bridgers, Ben Schneider]
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Oh, take me back to the night we met

[Verse 2: Phoebe Bridgers]
When the night was full of terrors
And your eyes were filled with tears
When you had not touched me yet
Oh, take me back to the night we met
See Lord Huron LiveGet tickets as low as $11You might also like[Chorus: Ben Schneider & Phoebe Bridgers, Phoebe Bridgers]
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met28Embed",ooh ooh ooh  ooh ooh ooh  ooh ooh ooh  ooh ooh ooh i am not the only traveler who has not repaid his debt ive been searching for a trail to follow again take me back to the night we met and then i can tell myself what the hell im supposed to do and then i can tell myself not to ride along with you  i had all and then most of you some and now none of you take me back to the night we met i dont know what im supposed to do haunted by the ghost of you oh take me back to the night we met  when the night was full of terrors and your eyes were filled with tears when you had not touched me yet oh take me back to the night we met  i had all and then most of you some and now none of you take me back to the night we met i dont know what im supposed to do haunted by the ghost of you take me back to the night we met,0.0,0.0,0.6,0.15,0.25,"{'neg': 0.109, 'neu': 0.88, 'pos': 0.011, 'compound': -0.9571}",-0.9571,neg
Lord Huron,The Night We Met,"129 ContributorsTranslationsDeutschNorsk (bokmål / riksmål)The Night We Met Lyrics[Intro]
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)

[Verse 1]
I am not the only traveler
Who has not repaid his debt
I've been searching for a trail to follow again
Take me back to the night we met
And then I can tell myself
What the hell I'm supposed to do
And then I can tell myself
Not to ride along with you

[Chorus]
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Oh, take me back to the night we met

[Verse 2]
When the night was full of terrors
And your eyes were filled with tears
When you had not touched me yet
Oh, take me back to the night we met
See Lord Huron LiveGet tickets as low as $11You might also like[Chorus]
I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met120Embed",ooh ooh ooh  ooh ooh ooh  ooh ooh ooh  ooh ooh ooh i am not the only traveler who has not repaid his debt ive been searching for a trail to follow again take me back to the night we met and then i can tell myself what the hell im supposed to do and then i can tell myself not to ride along with you  i had all and then most of you some and now none of you take me back to the night we met i dont know what im supposed to do haunted by the ghost of you oh take me back to the night we met  when the night was full of terrors and your eyes were filled with tears when you had not touched me yet oh take me back to the night we met  i had all and then most of you some and now none of you take me back to the night we met i dont know what im supposed to do haunted by the ghost of you take me back to the night we met,0.0,0.0,0.6,0.15,0.25,"{'neg': 0.109, 'neu': 0.88, 'pos': 0.011, 'compound': -0.9571}",-0.9571,neg
Lord Huron,Fool for Love,"36 ContributorsFool for Love Lyrics[Verse 1]
I'm leavin' this place behind
And I'm headin' down on the road tonight
I'm off for the Hinterlands
Way up north to where the tall trees stand
Before I commence my ride
I'm askin' Lily to be my bride
I know there's another man
But he ain't gonna delay my plans

[Chorus]
I know she gonna be my wife
Gonna fall in love, I'm gonna live my life with her
You know, I bet he's not so tough
Ain't afraid of him 'cause I'm a fool for love

[Verse 2]
I come forward to find Big Jim
Well, here I am and I guess you're him
I see how you got your name
You're tall as hell and broad as a train
You say you're a hard-worn man
Oh, the baddest guy in the whole wide land
Well, I'm not afraid to fight
Let's step outside and I'll show you why
See Lord Huron LiveGet tickets as low as $11You might also like[Chorus]
I'm hummin' like a revved-up truck
Never mind the odds, I'm gonna try my luck with her
Just tell me when you've had enough
I'm dangerous 'cause I'm a fool for love

[Post-Chorus]
You know, you don't hit half-bad
Oh, but I'm gonna lay you to ground tonight, oh
Just wait until I catch my breath
Gonna send you off to an early death

[Instrumental Break]

[Verse 3]
I lie in the drifting snow
Bleeding out as it covers me over
If spring comes before I'm found
Just throw my bones in a hole in the ground
I lost friends along my way
I knew I'd need 'em eventually
No, I'm not afraid to die
Just mad I left Big Jim alive

[Chorus]
I know I should've never looked back
But you ain't gonna win a woman's heart like that, oh
I never should have called his bluff
I was born to lose 'cause I'm a fool for love
[Outro]
I stare into the endless sky
And the sorry tale of my life goes by, oh
I drift into the great unknown
No, I really don't know where I'm goin'
I stare into the endless sky
And the sorry tale of my life goes by, oh
I drift into the great unknown
No, I really don't know where I'm goin'11Embed",im leavin this place behind and im headin down on the road tonight im off for the hinterlands way up north to where the tall trees stand before i commence my ride im askin lily to be my bride i know theres another man but he aint gonna delay my plans  i know she gonna be my wife gonna fall in love im gonna live my life with her you know i bet hes not so tough aint afraid of him cause im a fool for love  i come forward to find big jim well here i am and i guess youre him i see how you got your name youre tall as hell and broad as a train you say youre a hard worn man oh the baddest guy in the whole wide land well im not afraid to fight lets step outside and ill show you why  im hummin like a revved up truck never mind the odds im gonna try my luck with her just tell me when youve had enough im dangerous cause im a fool for love  you know you dont hit half bad oh but im gonna lay you to ground tonight oh just wait until i catch my breath gonna send you off to an early death  i lie in the drifting snow bleeding out as it covers me over if spring comes before im found just throw my bones in a hole in the ground i lost friends along my way i knew id need em eventually no im not afraid to die just mad i left big jim alive  i know i shouldve never looked back but you aint gonna win a womans heart like that oh i never should have called his bluff i was born to lose cause im a fool for love  i stare into the endless sky and the sorry tale of my life goes by oh i drift into the great unknown no i really dont know where im goin i stare into the endless sky and the sorry tale of my life goes by oh i drift into the great unknown no i really dont know where im goin,0.17,0.07,0.15,0.2,0.41,"{'neg': 0.143, 'neu': 0.688, 'pos': 0.169, 'compound': 0.9469}",0.9469,pos
Lord Huron,Ends of the Earth,"27 ContributorsTranslationsEspañolEnds of the Earth Lyrics[Intro]
Ooh, ooh-ooh ooh
Ooh, ooh-ooh ooh

[Verse 1]
Oh, there's a river that winds on forever
I'm gonna see where it leads
Oh, there's a mountain that no man has mounted
I'm gonna stand on the peak
Out there's a land that time don't command
Wanna be the first to arrive
No time for ponderin', why, I'm a-wanderin'
Not while we're both still alive

[Chorus]
To the ends of the earth, would you follow me?
There's a world that was meant for our eyes to see
To the ends of the earth, would you follow me?
If you won't, I must say my goodbyes to thee

[Refrain]
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
See Lord Huron LiveGet tickets as low as $11You might also like[Verse 2]
Oh, there's an island where all things are silent
I'm gonna whistle a tune
Oh, there's a desert that size can't be measured
I'm gonna count all the dunes

Out there's a world that calls for me, girl
Headin' out into the unknown
Wayfarin' strangers and all kinds of danger
Please don't say I'm going alone

[Chorus]
To the ends of the earth, would you follow me?
There's a world that was meant for our eyes to see
To the ends of the earth, would you follow me?
Well, if you won't, I will say my goodbyes to thee

[Verse 3]
I was a-ready to die for you, baby
Doesn't mean I'm ready to stay
What good is livin' the life you've been given
If all you do is stand in one place?

I'm on a river that winds on forever
Follow 'til I get where I'm goin'
Maybe I'm headin' to die, but I'm still gonna try
I guess I'm goin' alone
[Refrain]
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh

[Refrain]
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh11Embed",ooh ooh ooh ooh ooh ooh ooh ooh  oh theres a river that winds on forever im gonna see where it leads oh theres a mountain that no man has mounted im gonna stand on the peak out theres a land that time dont command wanna be the first to arrive no time for ponderin why im a wanderin not while were both still alive  to the ends of the earth would you follow me theres a world that was meant for our eyes to see to the ends of the earth would you follow me if you wont i must say my goodbyes to thee  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh  oh theres an island where all things are silent im gonna whistle a tune oh theres a desert that size cant be measured im gonna count all the dunes out theres a world that calls for me girl headin out into the unknown wayfarin strangers and all kinds of danger please dont say im going alone  to the ends of the earth would you follow me theres a world that was meant for our eyes to see to the ends of the earth would you follow me well if you wont i will say my goodbyes to thee  i was a ready to die for you baby doesnt mean im ready to stay what good is livin the life youve been given if all you do is stand in one place  im on a river that winds on forever follow til i get where im goin maybe im headin to die but im still gonna try i guess im goin alone  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh,0.04,0.02,0.76,0.04,0.14,"{'neg': 0.046, 'neu': 0.92, 'pos': 0.034, 'compound': -0.5927}",-0.5927,neg
Lord Huron,Love Like Ghosts,"29 ContributorsLove Like Ghosts Lyrics[Verse 1]
Yes, I know that love is like ghosts
Oh, few have seen it, but everybody talks
Spirits follow everywhere I go
Oh, they sing all day, and they haunt me in the night
Oh, they sing all day, and they haunt me in the night

[Verse 2]
Yes, I know that love is like ghosts
Oh, and what ain't living can never really die
You don't want me, baby, please don't lie
Oh, but if you're leaving, I gotta know why
I said, if you're leaving, I gotta know why
Oh, I sing all day, and I love you through the night

[Verse 3]
Yes, I know that love is like ghosts
Oh, and the moonlight, baby, shows you what's real
There ain't language for the things I feel
And if I can't have you, then no one ever will
Oh, if I can't have you, then no one ever will

[Chorus]
I don't feel it till it hurts sometimes
Oh, go on, baby, hurt me tonight
I want ours to be an endless song
Baby, in my eyes, you do no wrong
I don't feel it till it hurts sometimes
So go on, baby, hurt me tonight
All the spirits that I know I saw
Do you see no ghost in me at all?
See Lord Huron LiveGet tickets as low as $11You might also like[Outro]
Oh, I sing all day, and I love you through the night
Oh, I sing all day, and I love you through the night
Oh, I sing all day, and I love you through the night
Oh, I sing all day, and I love you through the night2Embed",yes i know that love is like ghosts oh few have seen it but everybody talks spirits follow everywhere i go oh they sing all day and they haunt me in the night oh they sing all day and they haunt me in the night  yes i know that love is like ghosts oh and what aint living can never really die you dont want me baby please dont lie oh but if youre leaving i gotta know why i said if youre leaving i gotta know why oh i sing all day and i love you through the night  yes i know that love is like ghosts oh and the moonlight baby shows you whats real there aint language for the things i feel and if i cant have you then no one ever will oh if i cant have you then no one ever will  i dont feel it till it hurts sometimes oh go on baby hurt me tonight i want ours to be an endless song baby in my eyes you do no wrong i dont feel it till it hurts sometimes so go on baby hurt me tonight all the spirits that i know i saw do you see no ghost in me at all  oh i sing all day and i love you through the night oh i sing all day and i love you through the night oh i sing all day and i love you through the night oh i sing all day and i love you through the night,0.62,0.0,0.08,0.29,0.0,"{'neg': 0.144, 'neu': 0.641, 'pos': 0.215, 'compound': 0.9823}",0.9823,pos
Lord Huron,I Lied,"27 ContributorsTranslationsTürkçeI Lied Lyrics[Verse 1: Ben Schneider]
I swore that I'd become a better man for you and I tried
I tried to change my ways and walk the line you follow
I bore a flame that burned a thousand suns for you, but it died
I told you I could never love somebody else, but I lied

[Chorus: Ben Schneider]
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied

[Instrumental Break]

[Verse 2: Ben Schneider]
I told you I'd be coming back again for you, but I'm not
I'm going way out where the world will never find me
I made a claim that I would dance until we're bones with my bride
I told you I would never leave you all alone, but I lied

[Break: Allison Ponthier]
Ooh-ooh, ooh, ooh-ooh, ooh
Ooh-ooh, ooh, ooh-ooh, ooh
Ooh-ooh, ooh, ooh-ooh, ooh

[Verse 3: Allison Ponthier, with Ben Schneider]
I read your letter in the morning by the lake and I cried
They were tears of joy, my chains are finally broken
I made a vow to stand beside you till the day that I die
Told you I could never live without your love, but I lied
See Lord Huron LiveGet tickets as low as $11You might also like[Chorus: Ben Schneider & Allison Ponthier]
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied
Mm-mm, mm-mm, I lied5Embed",i swore that id become a better man for you and i tried i tried to change my ways and walk the line you follow i bore a flame that burned a thousand suns for you but it died i told you i could never love somebody else but i lied  mm mm mm mm i lied mm mm mm mm i lied  i told you id be coming back again for you but im not im going way out where the world will never find me i made a claim that i would dance until were bones with my bride i told you i would never leave you all alone but i lied  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh  i read your letter in the morning by the lake and i cried they were tears of joy my chains are finally broken i made a vow to stand beside you till the day that i die told you i could never live without your love but i lied  mm mm mm mm i lied mm mm mm mm i lied mm mm mm mm i lied mm mm mm mm i lied mm mm mm mm i lied mm mm mm mm i lied,0.07,0.05,0.51,0.22,0.15,"{'neg': 0.293, 'neu': 0.672, 'pos': 0.035, 'compound': -0.9964}",-0.9964,neg
Lord Huron,When the Night Is Over,"16 ContributorsWhen the Night Is Over Lyrics[Verse 1]
My one and only love
I've been lonely long enough
Will I find you when the night is over?
Tell me where did you go?
I've been searching high and low
I have only 'til the night is over

[Verse 2]
In every window, I pass
Your reflection in the glass
Makes me wonder if my mind is going
Shadows shifting in the rain
Slowly driving me insane
By the stars above, I know we were in love
I have only 'til the night is over

[Chorus]
I feel the weather change
I hear the river say your name
I watch the birds fly by
I see an emerald in the sky

[Instrumental Break]

[Verse 3]
Now the trail has gone cold
I don't know where else to go
And my time, I fear, is nearly over
When the ocean drinks the sky
And the city winks its eye
When the night is done, you'll vanish in the sun
Will I hold you when the night is over?
See Lord Huron LiveGet tickets as low as $11You might also like[Outro]
Am I lost inside my mind?
There's an emerald in the sky
I hear the river say your name
By the stars above, I know we were in love
I hear the river say your name
I have only 'til the night is over11Embed",my one and only love ive been lonely long enough will i find you when the night is over tell me where did you go ive been searching high and low i have only til the night is over  in every window i pass your reflection in the glass makes me wonder if my mind is going shadows shifting in the rain slowly driving me insane by the stars above i know we were in love i have only til the night is over  i feel the weather change i hear the river say your name i watch the birds fly by i see an emerald in the sky  now the trail has gone cold i dont know where else to go and my time i fear is nearly over when the ocean drinks the sky and the city winks its eye when the night is done youll vanish in the sun will i hold you when the night is over  am i lost inside my mind theres an emerald in the sky i hear the river say your name by the stars above i know we were in love i hear the river say your name i have only til the night is over,0.19,0.05,0.29,0.33,0.14,"{'neg': 0.062, 'neu': 0.876, 'pos': 0.061, 'compound': 0.4215}",0.4215,pos
Lord Huron,Meet Me in the Woods,"41 ContributorsTranslationsFrançaisMeet Me in the Woods Lyrics[Verse 1]
I took a little journey to the unknown
And I come back changed, and I can feel it in my bones
I fucked with forces that our eyes can't see
Now the darkness got a hold on me
Holy darkness got a hold on me

[Break]
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da

[Verse 2]
How long, baby, have I been away?
Oh, it feels like ages, though you say it's only days
There ain't language for the things I've seen, yeah
And the truth is stranger than my own worst dreams
The truth is stranger than all my dreams
Holy darkness got a hold on me

[Chorus]
I have seen what the darkness does
Say goodbye to who I was
I ain't never been away so long
Don't look back, them days are gone
Follow me into the endless night
I can bring your fears to life
Show me yours, and I'll show you mine
Meet me in the woods tonight
See Lord Huron LiveGet tickets as low as $11You might also like[Post-Chorus]
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da

[Bridge]
Yeah, the truth is stranger than my own worst dreams
Holy darkness got a hold on me

[Chorus]
I have seen what the darkness does
Say goodbye to who I was
I ain't never been away so long
Don't look back, them days are gone
Follow me into the endless night
I can bring your fears to light
Show me yours, and I'll show you mine
Meet me in the woods tonight

[Post-Chorus]
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da
Oh-oh-oh-oh-oh
La-da-da-da-da-da-da-da-da
[Outro]
La-da-da-da-da-da-da-da-da15Embed",i took a little journey to the unknown and i come back changed and i can feel it in my bones i fucked with forces that our eyes cant see now the darkness got a hold on me holy darkness got a hold on me  oh oh oh oh oh la da da da da da da da da oh oh oh oh oh la da da da da da da da da  how long baby have i been away oh it feels like ages though you say its only days there aint language for the things ive seen yeah and the truth is stranger than my own worst dreams the truth is stranger than all my dreams holy darkness got a hold on me  i have seen what the darkness does say goodbye to who i was i aint never been away so long dont look back them days are gone follow me into the endless night i can bring your fears to life show me yours and ill show you mine meet me in the woods tonight  oh oh oh oh oh la da da da da da da da da oh oh oh oh oh la da da da da da da da da  yeah the truth is stranger than my own worst dreams holy darkness got a hold on me  i have seen what the darkness does say goodbye to who i was i aint never been away so long dont look back them days are gone follow me into the endless night i can bring your fears to light show me yours and ill show you mine meet me in the woods tonight  oh oh oh oh oh la da da da da da da da da oh oh oh oh oh la da da da da da da da da oh oh oh oh oh la da da da da da da da da  la da da da da da da da da,0.15,0.15,0.07,0.3,0.33,"{'neg': 0.103, 'neu': 0.834, 'pos': 0.063, 'compound': -0.9313}",-0.9313,neg
Lord Huron,Wait by the River,"17 ContributorsWait by the River Lyrics[Verse 1]
I will wait by the river in the light of the moon
At the edge of the city, I will wait for you
Though I can't wait forever, someday I'll be dead and gone
And I won't be forgiven for what I've done

[Refrain]
I will wait by the river
I will wait by the river
I will wait by the river
I will wait by the river

[Verse 2]
I will cry out to heaven as it rains down on me
I will beg for forgiveness, get down on my knees
If I can't change the weather, maybe I can change your mind
If we can't be together, what's the point of life?

[Bridge]
Baby, I didn't mean the things I said
I don't honestly wish you were dead
I'm a fool, I'm just a man
If I only could hold you again

[Verse 3]
And the stars fill the river as it flows into the sky
And the mind leaves the body and floats higher and higher
If we can't be together, I will leave this world behind
If I can't touch your body, can I touch the sky?
See Lord Huron LiveGet tickets as low as $11You might also like[Refrain]
I will wait by the river
I will wait by the river
I will wait by the river
I will wait by the river6Embed",i will wait by the river in the light of the moon at the edge of the city i will wait for you though i cant wait forever someday ill be dead and gone and i wont be forgiven for what ive done  i will wait by the river i will wait by the river i will wait by the river i will wait by the river  i will cry out to heaven as it rains down on me i will beg for forgiveness get down on my knees if i cant change the weather maybe i can change your mind if we cant be together whats the point of life baby i didnt mean the things i said i dont honestly wish you were dead im a fool im just a man if i only could hold you again  and the stars fill the river as it flows into the sky and the mind leaves the body and floats higher and higher if we cant be together i will leave this world behind if i cant touch your body can i touch the sky  i will wait by the river i will wait by the river i will wait by the river i will wait by the river,0.04,0.04,0.67,0.17,0.08,"{'neg': 0.125, 'neu': 0.848, 'pos': 0.026, 'compound': -0.9591}",-0.9591,neg
Lord Huron,Ancient Names (Part I),"18 ContributorsAncient Names (Part I) Lyrics[Verse 1]
Well, the neon lights burned red and gold
I came to have my fortune told
Can't imagine what she saw
While gazing in her crystal ball

[Verse 2]
Far out past the astral plane
I cast you back from whence you came
Cosmic ash and blackened brain
And call you by your ancient names

[Chorus]
I gotta get away from here
I gotta get away from her

[Verse 3]
What the fortune teller said is
I'm alive for now but good as dead
She claimed she'd seen it all
While she was gazing in her crystal ball

[Verse 4]
I can't evade my fate
Then I won't sit around and wait
A fallen star will be thy bane
And call you by your ancient names
See Lord Huron LiveGet tickets as low as $11You might also like[Chorus]
I gotta get away from here
(I'll never see another sunrise)
I gotta get away from her
(Oh, if I leave this place alive)
I gotta get away from here
(I'll never see another sunrise)
Oh I gotta get away from her

[Instrumental Bridge]

[Chorus]
I gotta get away from here
I gotta get away from her
I gotta get away from here
I gotta get away from her

[Outro]
I gotta get away from here
If I live to see the next sunrise
I gotta get away from her
Oh, if I leave this place alive6Embed",well the neon lights burned red and gold i came to have my fortune told cant imagine what she saw while gazing in her crystal ball  far out past the astral plane i cast you back from whence you came cosmic ash and blackened brain and call you by your ancient names  i gotta get away from here i gotta get away from her  what the fortune teller said is im alive for now but good as dead she claimed shed seen it all while she was gazing in her crystal ball  i cant evade my fate then i wont sit around and wait a fallen star will be thy bane and call you by your ancient names  i gotta get away from here ill never see another sunrise i gotta get away from her oh if i leave this place alive i gotta get away from here ill never see another sunrise oh i gotta get away from her  i gotta get away from here i gotta get away from her i gotta get away from here i gotta get away from her  i gotta get away from here if i live to see the next sunrise i gotta get away from her oh if i leave this place alive,0.08,0.52,0.2,0.12,0.08,"{'neg': 0.09, 'neu': 0.844, 'pos': 0.066, 'compound': -0.7351}",-0.7351,neg
