name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
Ode to the Sun,0.08,0.36,0.12,0.32,0.12,0.05,1,None,Dredg,
Convalescent,0.09,0.36,0.09,0.27,0.18,0.1,1,None,Dredg,
Quotes,0,0.5,0.12,0.25,0.12,0.24,1,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.24,1,None,Dredg,
Lightswitch,0,0.4,0.24,0.28,0.08,0.29,1,None,Dredg,
18 People Live In Harmony,0.08,0.32,0,0.44,0.16,0.37,1,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.42,1,None,Dredg,
Triangle,0.05,0.2,0.15,0.3,0.3,0.43,1,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.48,1,None,Dredg,
The Papal Insignia,0.04,0.39,0.39,0.04,0.14,0.59,1,None,Dredg,
Same Ol' Road,0.12,0.5,0,0.17,0.21,0,2,None,Dredg,
Running Through Propellers,0.15,0.5,0.06,0.12,0.18,0.17,2,None,Dredg,
Ireland,0.11,0.44,0,0.26,0.19,0.18,2,None,Dredg,
I Don't Know,0,0.52,0,0.24,0.24,0.24,2,None,Dredg,
Pariah,0,0.46,0.12,0.21,0.21,0.32,2,None,Dredg,
Stamp of Origin: Take a Look Around,0.08,0.33,0.17,0.17,0.25,0.42,2,None,Dredg,
Catch Without Arms,0.13,0.69,0.03,0.13,0.03,0.45,2,None,Dredg,
18 People Live In Harmony,0.08,0.32,0,0.44,0.16,0.54,2,None,Dredg,
Mourning This Morning,0.09,0.22,0.35,0.13,0.22,0.71,2,None,Dredg,
Convalescent,0.09,0.36,0.09,0.27,0.18,0.15,3,None,Dredg,
Quotes,0,0.5,0.12,0.25,0.12,0.27,3,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.27,3,None,Dredg,
Stamp of Origin: Take a Look Around,0.08,0.33,0.17,0.17,0.25,0.32,3,None,Dredg,
Cartoon Showroom,0.07,0.43,0.27,0.13,0.1,0.36,3,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.41,3,None,Dredg,
Where I'll End Up,0.1,0.2,0.1,0.2,0.4,0.52,3,None,Dredg,
The Papal Insignia,0.04,0.39,0.39,0.04,0.14,0.56,3,None,Dredg,
Information,0.02,0.31,0.05,0.4,0.21,0.26,4,None,Dredg,
Pariah,0,0.46,0.12,0.21,0.21,0.29,4,None,Dredg,
Quotes,0,0.5,0.12,0.25,0.12,0.34,4,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.34,4,None,Dredg,
Sang Real/Waltz,0.2,0.27,0.07,0.33,0.13,0.35,4,None,Dredg,
Sang Real,0.2,0.27,0.07,0.33,0.13,0.35,4,None,Dredg,
Whoa Is Me,0,0.28,0.04,0.52,0.16,0.37,4,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.39,4,None,Dredg,
Lechium,0,0.22,0.44,0.22,0.11,0.52,4,None,Dredg,
It Only Took A Day,0,0.27,0,0.18,0.55,0.55,4,None,Dredg,
Not That Simple,0,0.67,0.08,0.08,0.18,0.56,4,None,Dredg,
Sang Real,0.2,0.27,0.07,0.33,0.13,0.28,5,None,Dredg,
18 People Live In Harmony,0.08,0.32,0,0.44,0.16,0.3,5,None,Dredg,
Whoa Is Me,0,0.28,0.04,0.52,0.16,0.32,5,None,Dredg,
Quotes,0,0.5,0.12,0.25,0.12,0.33,5,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.33,5,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.33,5,None,Dredg,
Stamp of Origin: Ocean Meets Bay,0,0.33,0,0.33,0.33,0.33,5,None,Dredg,
Lightswitch,0,0.4,0.24,0.28,0.08,0.36,5,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.38,5,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.4,5,None,Dredg,
Stamp of Origin: Horizon,0,0.47,0,0.27,0.27,0.41,5,None,Dredg,
Stamp of Origin: Pessimistic,0,0.47,0,0.27,0.27,0.41,5,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.41,5,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.44,5,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.45,5,None,Dredg,
Matroshka,0.17,0.26,0,0.48,0.09,0.46,5,None,Dredg,
Matroshka (The Ornament),0.17,0.26,0,0.48,0.09,0.46,5,None,Dredg,
