,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
0,ode to the sun,0.0,0.08,0.12,0.32,0.12,0.36,Angry,Dredg
1,same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Angry,Dredg
2,convalescent,0.0099999999999999,0.09,0.09,0.27,0.18,0.36,Angry,Dredg
3,sang real/waltz,0.0,0.2,0.07,0.33,0.13,0.27,Angry,Dredg
4,information,0.0,0.02,0.05,0.4,0.21,0.31,Angry,Dredg
5,the canyon behind her,0.0,0.0,0.06,0.29,0.06,0.59,Angry,Dredg
6,whoa is me,0.0199999999999999,0.0,0.04,0.52,0.16,0.28,Angry,Dredg
7,sanzen,0.0049999999999999,0.31,0.08,0.31,0.08,0.23,Angry,Dredg
8,saviour,0.0149999999999999,0.0,0.09,0.3,0.04,0.57,Angry,Dredg
9,not that simple,0.0099999999999999,0.0,0.08,0.08,0.18,0.67,Angry,Dredg
10,hungover on a tuesday,0.02,0.21,0.05,0.32,0.21,0.21,Angry,Dredg
11,quotes,0.03,0.0,0.12,0.25,0.12,0.5,Angry,Dredg
12,scissor lock,0.04,0.03,0.03,0.31,0.07,0.55,Angry,Dredg
13,convalescent,0.0,0.09,0.09,0.27,0.18,0.36,Fear,Dredg
14,running through propellers,0.0,0.15,0.06,0.12,0.18,0.5,Fear,Dredg
15,the papal insignia,0.01,0.04,0.39,0.04,0.14,0.39,Fear,Dredg
16,information,0.01,0.02,0.05,0.4,0.21,0.31,Fear,Dredg
17,eighteen people living in harmony,0.01,0.08,0.0,0.44,0.16,0.32,Fear,Dredg
18,the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Fear,Dredg
19,ode to the sun,0.0,0.08,0.12,0.32,0.12,0.36,Fear,Dredg
20,stamp of origin: ocean meets bay,0.0299999999999999,0.0,0.0,0.33,0.33,0.33,Fear,Dredg
21,spitshine,0.0,0.0,0.36,0.2,0.12,0.32,Fear,Dredg
22,whoa is me,0.0299999999999999,0.0,0.04,0.52,0.16,0.28,Fear,Dredg
23,sang real/waltz,0.0,0.2,0.07,0.33,0.13,0.27,Fear,Dredg
24,the ornament,0.0499999999999999,0.0,0.0,0.67,0.08,0.25,Fear,Dredg
25,sanzen,0.04,0.31,0.08,0.31,0.08,0.23,Fear,Dredg
26,eighteen people living in harmony,0.0,0.08,0.0,0.44,0.16,0.32,Happy,Dredg
27,same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Happy,Dredg
28,stamp of origin: take a look around,0.0,0.08,0.17,0.17,0.25,0.33,Happy,Dredg
29,information,0.0,0.02,0.05,0.4,0.21,0.31,Happy,Dredg
30,scissor lock,0.0099999999999999,0.03,0.03,0.31,0.07,0.55,Happy,Dredg
31,stamp of origin: ocean meets bay,0.0,0.0,0.0,0.33,0.33,0.33,Happy,Dredg
32,quotes,0.0,0.0,0.12,0.25,0.12,0.5,Happy,Dredg
33,the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Happy,Dredg
34,whoa is me,0.0,0.0,0.04,0.52,0.16,0.28,Happy,Dredg
35,yatahaze,0.0,0.0,0.12,0.25,0.12,0.5,Happy,Dredg
36,paraih,0.0,0.0,0.12,0.21,0.21,0.46,Happy,Dredg
37,spitshine,0.0,0.0,0.36,0.2,0.12,0.32,Happy,Dredg
38,lightswitch,0.0,0.0,0.24,0.28,0.08,0.4,Happy,Dredg
39,ode to the sun,0.0499999999999999,0.08,0.12,0.32,0.12,0.36,,Dredg
40,same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,,Dredg
41,convalescent,0.15,0.09,0.09,0.27,0.18,0.36,,Dredg
42,information,0.26,0.02,0.05,0.4,0.21,0.31,,Dredg
43,sang real/waltz,0.28,0.2,0.07,0.33,0.13,0.27,,Dredg
44,whoa is me,0.3,0.0,0.04,0.52,0.16,0.28,,Dredg
45,quotes,0.23,0.0,0.12,0.25,0.12,0.5,,Dredg
46,lightswitch,0.205,0.0,0.24,0.28,0.08,0.4,,Dredg
47,yatahaze,0.2749999999999999,0.0,0.12,0.25,0.12,0.5,,Dredg
48,stamp of origin: ocean meets bay,0.31,0.0,0.0,0.33,0.33,0.33,,Dredg
49,paraih,0.36,0.0,0.12,0.21,0.21,0.46,,Dredg
50,the tanbark is hot lava,0.32,0.0,0.35,0.3,0.04,0.3,,Dredg
51,the canyon behind her,0.365,0.0,0.06,0.29,0.06,0.59,,Dredg
52,convalescent,0.0,0.09,0.09,0.27,0.18,0.36,Sad,Dredg
53,same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Sad,Dredg
54,where i'll end up,0.0199999999999999,0.1,0.1,0.2,0.4,0.2,Sad,Dredg
55,lechium,0.0,0.0,0.44,0.22,0.11,0.22,Sad,Dredg
56,the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Sad,Dredg
57,saviour,0.0,0.0,0.09,0.3,0.04,0.57,Sad,Dredg
58,lightswitch,0.0,0.0,0.24,0.28,0.08,0.4,Sad,Dredg
59,the canyon behind her,0.0099999999999999,0.0,0.06,0.29,0.06,0.59,Sad,Dredg
60,sanzen,0.01,0.31,0.08,0.31,0.08,0.23,Sad,Dredg
61,scissor lock,0.0,0.03,0.03,0.31,0.07,0.55,Sad,Dredg
62,quotes,0.03,0.0,0.12,0.25,0.12,0.5,Sad,Dredg
63,ode to the sun,0.03,0.08,0.12,0.32,0.12,0.36,Sad,Dredg
64,sang real/waltz,0.035,0.2,0.07,0.33,0.13,0.27,Sad,Dredg
65,ode to the sun,0.0,0.08,0.12,0.32,0.12,0.36,Surprise,Dredg
66,same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Surprise,Dredg
67,quotes,0.0,0.0,0.12,0.25,0.12,0.5,Surprise,Dredg
68,whoa is me,0.0,0.0,0.04,0.52,0.16,0.28,Surprise,Dredg
69,spitshine,0.0,0.0,0.36,0.2,0.12,0.32,Surprise,Dredg
70,yatahaze,0.0,0.0,0.12,0.25,0.12,0.5,Surprise,Dredg
71,sang real/waltz,0.01,0.2,0.07,0.33,0.13,0.27,Surprise,Dredg
72,sanzen,0.0,0.31,0.08,0.31,0.08,0.23,Surprise,Dredg
73,lightswitch,0.0399999999999999,0.0,0.24,0.28,0.08,0.4,Surprise,Dredg
74,convalescent,0.0499999999999999,0.09,0.09,0.27,0.18,0.36,Surprise,Dredg
75,not that simple,0.0199999999999999,0.0,0.08,0.08,0.18,0.67,Surprise,Dredg
76,the ornament,0.0099999999999999,0.0,0.0,0.67,0.08,0.25,Surprise,Dredg
77,scissor lock,0.0199999999999999,0.03,0.03,0.31,0.07,0.55,Surprise,Dredg
78,ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Angry,Florence + the Machine
79,100 years,0.0,0.09,0.04,0.39,0.15,0.33,Angry,Florence + the Machine
80,breaking down,0.0,0.07,0.04,0.21,0.5,0.18,Angry,Florence + the Machine
81,leave my body,0.0,0.02,0.06,0.33,0.27,0.31,Angry,Florence + the Machine
82,lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Angry,Florence + the Machine
83,rabbit heart (raise it up),0.0,0.07,0.07,0.23,0.37,0.27,Angry,Florence + the Machine
84,never let me go,0.0099999999999999,0.15,0.05,0.2,0.27,0.34,Angry,Florence + the Machine
85,drumming song,0.0,0.0,0.07,0.2,0.28,0.44,Angry,Florence + the Machine
86,what the water gave me,0.0099999999999999,0.14,0.05,0.33,0.19,0.29,Angry,Florence + the Machine
87,hunger,0.0,0.15,0.04,0.13,0.5,0.17,Angry,Florence + the Machine
88,mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Angry,Florence + the Machine
89,only love can break your heart,0.0,0.3,0.07,0.3,0.22,0.11,Angry,Florence + the Machine
90,free,0.0,0.2,0.07,0.3,0.14,0.3,Angry,Florence + the Machine
91,what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Fear,Florence + the Machine
92,free,0.01,0.2,0.07,0.3,0.14,0.3,Fear,Florence + the Machine
93,ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Fear,Florence + the Machine
94,sky full of song,0.0,0.07,0.23,0.33,0.1,0.27,Fear,Florence + the Machine
