Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ode to the sun,0.0,0.08,0.12,0.32,0.12,0.36,Angry,Dredg
same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Angry,Dredg
convalescent,0.009999999999999995,0.09,0.09,0.27,0.18,0.36,Angry,Dredg
sang real/waltz,0.0,0.2,0.07,0.33,0.13,0.27,Angry,Dredg
information,0.0,0.02,0.05,0.4,0.21,0.31,Angry,Dredg
the canyon behind her,0.0,0.0,0.06,0.29,0.06,0.59,Angry,Dredg
whoa is me,0.019999999999999997,0.0,0.04,0.52,0.16,0.28,Angry,Dredg
sanzen,0.0049999999999999906,0.31,0.08,0.31,0.08,0.23,Angry,Dredg
saviour,0.014999999999999986,0.0,0.09,0.3,0.04,0.57,Angry,Dredg
not that simple,0.009999999999999995,0.0,0.08,0.08,0.18,0.67,Angry,Dredg
hungover on a tuesday,0.020000000000000004,0.21,0.05,0.32,0.21,0.21,Angry,Dredg
quotes,0.03,0.0,0.12,0.25,0.12,0.5,Angry,Dredg
scissor lock,0.04000000000000001,0.03,0.03,0.31,0.07,0.55,Angry,Dredg
