Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
convalescent,0.0,0.09,0.09,0.27,0.18,0.36,Fear,Dredg
running through propellers,0.0,0.15,0.06,0.12,0.18,0.5,Fear,Dredg
the papal insignia,0.010000000000000009,0.04,0.39,0.04,0.14,0.39,Fear,Dredg
information,0.010000000000000009,0.02,0.05,0.4,0.21,0.31,Fear,Dredg
eighteen people living in harmony,0.010000000000000009,0.08,0.0,0.44,0.16,0.32,Fear,Dredg
the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Fear,Dredg
ode to the sun,0.0,0.08,0.12,0.32,0.12,0.36,Fear,Dredg
stamp of origin: ocean meets bay,0.02999999999999997,0.0,0.0,0.33,0.33,0.33,Fear,Dredg
spitshine,0.0,0.0,0.36,0.2,0.12,0.32,Fear,Dredg
whoa is me,0.02999999999999997,0.0,0.04,0.52,0.16,0.28,Fear,Dredg
sang real/waltz,0.0,0.2,0.07,0.33,0.13,0.27,Fear,Dredg
the ornament,0.04999999999999999,0.0,0.0,0.67,0.08,0.25,Fear,Dredg
sanzen,0.04000000000000001,0.31,0.08,0.31,0.08,0.23,Fear,Dredg
