Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
eighteen people living in harmony,0.0,0.08,0.0,0.44,0.16,0.32,Happy,Dredg
same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Happy,Dredg
stamp of origin: take a look around,0.0,0.08,0.17,0.17,0.25,0.33,Happy,Dredg
information,0.0,0.02,0.05,0.4,0.21,0.31,Happy,Dredg
scissor lock,0.009999999999999998,0.03,0.03,0.31,0.07,0.55,Happy,Dredg
stamp of origin: ocean meets bay,0.0,0.0,0.0,0.33,0.33,0.33,Happy,Dredg
quotes,0.0,0.0,0.12,0.25,0.12,0.5,Happy,Dredg
the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Happy,Dredg
whoa is me,0.0,0.0,0.04,0.52,0.16,0.28,Happy,Dredg
yatahaze,0.0,0.0,0.12,0.25,0.12,0.5,Happy,Dredg
paraih,0.0,0.0,0.12,0.21,0.21,0.46,Happy,Dredg
spitshine,0.0,0.0,0.36,0.2,0.12,0.32,Happy,Dredg
lightswitch,0.0,0.0,0.24,0.28,0.08,0.4,Happy,Dredg
