Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ode to the sun,0.04999999999999999,0.08,0.12,0.32,0.12,0.36,None,Dredg
same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,None,Dredg
convalescent,0.15000000000000002,0.09,0.09,0.27,0.18,0.36,None,Dredg
information,0.26,0.02,0.05,0.4,0.21,0.31,None,Dredg
sang real/waltz,0.28,0.2,0.07,0.33,0.13,0.27,None,Dredg
whoa is me,0.3,0.0,0.04,0.52,0.16,0.28,None,Dredg
quotes,0.23000000000000004,0.0,0.12,0.25,0.12,0.5,None,Dredg
lightswitch,0.20500000000000002,0.0,0.24,0.28,0.08,0.4,None,Dredg
yatahaze,0.27499999999999997,0.0,0.12,0.25,0.12,0.5,None,Dredg
stamp of origin: ocean meets bay,0.31000000000000005,0.0,0.0,0.33,0.33,0.33,None,Dredg
paraih,0.36,0.0,0.12,0.21,0.21,0.46,None,Dredg
the tanbark is hot lava,0.32,0.0,0.35,0.3,0.04,0.3,None,Dredg
the canyon behind her,0.365,0.0,0.06,0.29,0.06,0.59,None,Dredg
