Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
convalescent,0.0,0.09,0.09,0.27,0.18,0.36,Sad,Dredg
same ol' road,0.0,0.12,0.0,0.17,0.21,0.5,Sad,Dredg
where i'll end up,0.01999999999999999,0.1,0.1,0.2,0.4,0.2,Sad,Dredg
lechium,0.0,0.0,0.44,0.22,0.11,0.22,Sad,Dredg
the tanbark is hot lava,0.0,0.0,0.35,0.3,0.04,0.3,Sad,Dredg
saviour,0.0,0.0,0.09,0.3,0.04,0.57,Sad,Dredg
lightswitch,0.0,0.0,0.24,0.28,0.08,0.4,Sad,Dredg
the canyon behind her,0.009999999999999953,0.0,0.06,0.29,0.06,0.59,Sad,Dredg
sanzen,0.010000000000000009,0.31,0.08,0.31,0.08,0.23,Sad,Dredg
scissor lock,0.0,0.03,0.03,0.31,0.07,0.55,Sad,Dredg
quotes,0.030000000000000027,0.0,0.12,0.25,0.12,0.5,Sad,Dredg
ode to the sun,0.030000000000000027,0.08,0.12,0.32,0.12,0.36,Sad,Dredg
sang real/waltz,0.03500000000000003,0.2,0.07,0.33,0.13,0.27,Sad,Dredg
