Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Angry,Florence + the Machine
100 years,0.0,0.09,0.04,0.39,0.15,0.33,Angry,Florence + the Machine
breaking down,0.0,0.07,0.04,0.21,0.5,0.18,Angry,Florence + the Machine
leave my body,0.0,0.02,0.06,0.33,0.27,0.31,Angry,Florence + the Machine
lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Angry,Florence + the Machine
rabbit heart (raise it up),0.0,0.07,0.07,0.23,0.37,0.27,Angry,Florence + the Machine
never let me go,0.009999999999999995,0.15,0.05,0.2,0.27,0.34,Angry,Florence + the Machine
drumming song,0.0,0.0,0.07,0.2,0.28,0.44,Angry,Florence + the Machine
what the water gave me,0.009999999999999995,0.14,0.05,0.33,0.19,0.29,Angry,Florence + the Machine
hunger,0.0,0.15,0.04,0.13,0.5,0.17,Angry,Florence + the Machine
mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Angry,Florence + the Machine
only love can break your heart,0.0,0.3,0.07,0.3,0.22,0.11,Angry,Florence + the Machine
free,0.0,0.2,0.07,0.3,0.14,0.3,Angry,Florence + the Machine
