Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Fear,Florence + the Machine
free,0.010000000000000009,0.2,0.07,0.3,0.14,0.3,Fear,Florence + the Machine
ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Fear,Florence + the Machine
sky full of song,0.0,0.07,0.23,0.33,0.1,0.27,Fear,Florence + the Machine
rabbit heart (raise it up),0.0,0.07,0.07,0.23,0.37,0.27,Fear,Florence + the Machine
flakes,0.0,0.16,0.23,0.13,0.26,0.23,Fear,Florence + the Machine
patricia,0.0,0.3,0.02,0.19,0.28,0.21,Fear,Florence + the Machine
lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Fear,Florence + the Machine
"how big, how blue, how beautiful",0.0,0.21,0.09,0.3,0.17,0.23,Fear,Florence + the Machine
howl,0.0,0.13,0.0,0.4,0.27,0.2,Fear,Florence + the Machine
are you hurting the one you love,0.0,0.4,0.05,0.26,0.16,0.14,Fear,Florence + the Machine
"no light, no light",0.010000000000000009,0.19,0.2,0.24,0.24,0.13,Fear,Florence + the Machine
falling,0.019999999999999962,0.18,0.14,0.14,0.25,0.29,Fear,Florence + the Machine
