Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
heaven is here,0.0,0.1,0.1,0.29,0.29,0.24,Happy,Florence + the Machine
south london forever,0.0,0.11,0.18,0.21,0.18,0.32,Happy,Florence + the Machine
girl with one eye,0.0,0.09,0.0,0.34,0.41,0.16,Happy,Florence + the Machine
prayer factory,0.009999999999999995,0.08,0.15,0.31,0.23,0.23,Happy,Florence + the Machine
hurricane drunk,0.010000000000000009,0.1,0.1,0.32,0.29,0.19,Happy,Florence + the Machine
never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Happy,Florence + the Machine
lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Happy,Florence + the Machine
what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Happy,Florence + the Machine
sky full of song,0.01999999999999999,0.07,0.23,0.33,0.1,0.27,Happy,Florence + the Machine
st jude,0.0,0.11,0.04,0.52,0.22,0.11,Happy,Florence + the Machine
daffodil,0.009999999999999981,0.15,0.1,0.5,0.2,0.05,Happy,Florence + the Machine
hunger,0.0,0.15,0.04,0.13,0.5,0.17,Happy,Florence + the Machine
bedroom hymns,0.009999999999999981,0.14,0.0,0.14,0.46,0.25,Happy,Florence + the Machine
