Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
what the water gave me,0.07000000000000002,0.14,0.05,0.33,0.19,0.29,None,Florence + the Machine
100 years,0.17000000000000004,0.09,0.04,0.39,0.15,0.33,None,Florence + the Machine
hurricane drunk,0.09999999999999995,0.1,0.1,0.32,0.29,0.19,None,Florence + the Machine
heaven is here,0.13000000000000003,0.1,0.1,0.29,0.29,0.24,None,Florence + the Machine
rabbit heart (raise it up),0.11999999999999997,0.07,0.07,0.23,0.37,0.27,None,Florence + the Machine
never let me go,0.16000000000000003,0.15,0.05,0.2,0.27,0.34,None,Florence + the Machine
lover to lover,0.06999999999999998,0.2,0.07,0.23,0.3,0.2,None,Florence + the Machine
"no light, no light",0.26,0.19,0.2,0.24,0.24,0.13,None,Florence + the Machine
prayer factory,0.11,0.08,0.15,0.31,0.23,0.23,None,Florence + the Machine
big god,0.25,0.24,0.0,0.28,0.24,0.24,None,Florence + the Machine
mermaids,0.27,0.32,0.08,0.19,0.19,0.22,None,Florence + the Machine
only love can break your heart,0.27999999999999997,0.3,0.07,0.3,0.22,0.11,None,Florence + the Machine
if i had a heart,0.18999999999999997,0.26,0.09,0.16,0.19,0.31,None,Florence + the Machine
