Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
leave my body,0.010000000000000009,0.02,0.06,0.33,0.27,0.31,Sad,Florence + the Machine
dream girl evil,0.010000000000000009,0.06,0.03,0.31,0.46,0.14,Sad,Florence + the Machine
hurricane drunk,0.0,0.1,0.1,0.32,0.29,0.19,Sad,Florence + the Machine
only love can break your heart,0.0,0.3,0.07,0.3,0.22,0.11,Sad,Florence + the Machine
lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Sad,Florence + the Machine
never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Sad,Florence + the Machine
breaking down,0.0,0.07,0.04,0.21,0.5,0.18,Sad,Florence + the Machine
"no light, no light",0.009999999999999981,0.19,0.2,0.24,0.24,0.13,Sad,Florence + the Machine
"how big, how blue, how beautiful",0.0,0.21,0.09,0.3,0.17,0.23,Sad,Florence + the Machine
girls against god,0.0,0.07,0.2,0.24,0.31,0.18,Sad,Florence + the Machine
mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Sad,Florence + the Machine
south london forever,0.020000000000000018,0.11,0.18,0.21,0.18,0.32,Sad,Florence + the Machine
if i had a heart,0.01999999999999999,0.26,0.09,0.16,0.19,0.31,Sad,Florence + the Machine
