Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Surprise,Florence + the Machine
if i had a heart,0.0,0.26,0.09,0.16,0.19,0.31,Surprise,Florence + the Machine
patricia,0.0,0.3,0.02,0.19,0.28,0.21,Surprise,Florence + the Machine
big god,0.010000000000000009,0.24,0.0,0.28,0.24,0.24,Surprise,Florence + the Machine
never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Surprise,Florence + the Machine
"no light, no light",0.0,0.19,0.2,0.24,0.24,0.13,Surprise,Florence + the Machine
flakes,0.010000000000000009,0.16,0.23,0.13,0.26,0.23,Surprise,Florence + the Machine
st jude,0.01999999999999999,0.11,0.04,0.52,0.22,0.11,Surprise,Florence + the Machine
prayer factory,0.0,0.08,0.15,0.31,0.23,0.23,Surprise,Florence + the Machine
howl,0.030000000000000027,0.13,0.0,0.4,0.27,0.2,Surprise,Florence + the Machine
ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Surprise,Florence + the Machine
mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Surprise,Florence + the Machine
blinding,0.0,0.28,0.11,0.11,0.19,0.3,Surprise,Florence + the Machine
