Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Angry,Gorillaz
last living souls,0.0,0.09,0.05,0.09,0.68,0.09,Angry,Gorillaz
strange timez,0.0,0.11,0.05,0.11,0.16,0.58,Angry,Gorillaz
silent running,0.0,0.12,0.0,0.47,0.12,0.29,Angry,Gorillaz
ascension,0.009999999999999998,0.1,0.02,0.2,0.41,0.27,Angry,Gorillaz
let me out,0.0,0.22,0.0,0.44,0.14,0.19,Angry,Gorillaz
opium,0.0,0.18,0.06,0.18,0.1,0.47,Angry,Gorillaz
the valley of the pagans,0.0,0.24,0.04,0.24,0.06,0.42,Angry,Gorillaz
tranz,0.0,0.0,0.0,0.22,0.17,0.61,Angry,Gorillaz
busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Angry,Gorillaz
empire ants,0.010000000000000002,0.1,0.05,0.15,0.15,0.55,Angry,Gorillaz
tomorrow comes today,0.0,0.12,0.0,0.0,0.12,0.75,Angry,Gorillaz
momentary bliss,0.0,0.12,0.05,0.42,0.18,0.23,Angry,Gorillaz
interlude: the non-conformist oath,0.0,0.12,0.0,0.75,0.12,0.0,Angry,Gorillaz
clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Angry,Gorillaz
skinny ape,0.0,0.11,0.0,0.37,0.15,0.37,Angry,Gorillaz
white flag,0.0,0.12,0.02,0.34,0.22,0.29,Angry,Gorillaz
sex murder party,0.0,0.0,0.03,0.62,0.09,0.25,Angry,Gorillaz
feel good inc.,0.0,0.22,0.03,0.27,0.3,0.19,Angry,Gorillaz
souk eye,0.0,0.21,0.05,0.26,0.21,0.26,Angry,Gorillaz
mls,0.0,0.27,0.03,0.23,0.26,0.21,Angry,Gorillaz
dead butterflies,0.009999999999999998,0.1,0.02,0.27,0.32,0.29,Angry,Gorillaz
