Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Fear,Gorillaz
welcome to the world of the plastic beach,0.0,0.41,0.07,0.22,0.11,0.19,Fear,Gorillaz
clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Fear,Gorillaz
garage palace,0.0,0.12,0.09,0.15,0.3,0.33,Fear,Gorillaz
silent running,0.0,0.12,0.0,0.47,0.12,0.29,Fear,Gorillaz
to binge,0.0,0.24,0.12,0.24,0.24,0.18,Fear,Gorillaz
dead butterflies,0.0,0.1,0.02,0.27,0.32,0.29,Fear,Gorillaz
sleeping powder,0.0,0.67,0.0,0.0,0.05,0.29,Fear,Gorillaz
busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Fear,Gorillaz
stylo,0.0,0.15,0.15,0.24,0.2,0.27,Fear,Gorillaz
november has come,0.0,0.07,0.23,0.23,0.2,0.27,Fear,Gorillaz
fire coming out of the monkey's head,0.0,0.13,0.12,0.35,0.15,0.25,Fear,Gorillaz
some kind of nature,0.0050000000000000044,0.55,0.04,0.06,0.15,0.21,Fear,Gorillaz
momentary bliss,0.01999999999999999,0.12,0.05,0.42,0.18,0.23,Fear,Gorillaz
let me out,0.010000000000000009,0.22,0.0,0.44,0.14,0.19,Fear,Gorillaz
souk eye,0.010000000000000009,0.21,0.05,0.26,0.21,0.26,Fear,Gorillaz
ascension,0.0,0.1,0.02,0.2,0.41,0.27,Fear,Gorillaz
feel good inc.,0.010000000000000009,0.22,0.03,0.27,0.3,0.19,Fear,Gorillaz
cloud of unknowing,0.014999999999999986,0.11,0.06,0.39,0.22,0.22,Fear,Gorillaz
mls,0.010000000000000009,0.27,0.03,0.23,0.26,0.21,Fear,Gorillaz
fire flies,0.0,0.06,0.0,0.47,0.25,0.22,Fear,Gorillaz
submission,0.010000000000000009,0.17,0.2,0.31,0.09,0.23,Fear,Gorillaz
