Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
4-may,0.17999999999999997,0.0,0.0,0.09,0.91,0.0,None,Gorillaz
garage palace,0.39,0.12,0.09,0.15,0.3,0.33,None,Gorillaz
ascension,0.24000000000000002,0.1,0.02,0.2,0.41,0.27,None,Gorillaz
skinny ape,0.27,0.11,0.0,0.37,0.15,0.37,None,Gorillaz
rhinestone eyes,0.22499999999999998,0.13,0.21,0.16,0.21,0.29,None,Gorillaz
mls,0.22000000000000003,0.27,0.03,0.23,0.26,0.21,None,Gorillaz
jimmy jimmy,0.17,0.2,0.09,0.22,0.17,0.33,None,Gorillaz
busted and blue,0.15999999999999998,0.23,0.04,0.27,0.19,0.27,None,Gorillaz
stylo,0.24999999999999997,0.15,0.15,0.24,0.2,0.27,None,Gorillaz
fire coming out of the monkey's head,0.26,0.13,0.12,0.35,0.15,0.25,None,Gorillaz
white flag,0.26,0.12,0.02,0.34,0.22,0.29,None,Gorillaz
dead butterflies,0.30000000000000004,0.1,0.02,0.27,0.32,0.29,None,Gorillaz
souk eye,0.235,0.21,0.05,0.26,0.21,0.26,None,Gorillaz
dirty harry,0.22000000000000003,0.08,0.0,0.32,0.16,0.45,None,Gorillaz
momentary bliss,0.23,0.12,0.05,0.42,0.18,0.23,None,Gorillaz
silent running,0.33,0.12,0.0,0.47,0.12,0.29,None,Gorillaz
magic city,0.26,0.06,0.06,0.36,0.24,0.27,None,Gorillaz
cloud of unknowing,0.25,0.11,0.06,0.39,0.22,0.22,None,Gorillaz
meanwhile,0.29500000000000004,0.23,0.08,0.38,0.12,0.18,None,Gorillaz
feel good inc.,0.27,0.22,0.03,0.27,0.3,0.19,None,Gorillaz
all alone,0.25,0.15,0.05,0.4,0.25,0.15,None,Gorillaz
crystalised,0.24000000000000005,0.08,0.08,0.25,0.25,0.33,None,Gorillaz
