Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Sad,Gorillaz
clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Sad,Gorillaz
hallelujah money,0.010000000000000009,0.22,0.08,0.14,0.43,0.14,Sad,Gorillaz
rhinestone eyes,0.0,0.13,0.21,0.16,0.21,0.29,Sad,Gorillaz
garage palace,0.010000000000000009,0.12,0.09,0.15,0.3,0.33,Sad,Gorillaz
welcome to the world of the plastic beach,0.01999999999999999,0.41,0.07,0.22,0.11,0.19,Sad,Gorillaz
el manana,0.0,0.45,0.1,0.2,0.15,0.1,Sad,Gorillaz
jimmy jimmy,0.004999999999999977,0.2,0.09,0.22,0.17,0.33,Sad,Gorillaz
ascension,0.0,0.1,0.02,0.2,0.41,0.27,Sad,Gorillaz
tranz,0.01999999999999999,0.0,0.0,0.22,0.17,0.61,Sad,Gorillaz
the pink phantom,0.020000000000000018,0.29,0.1,0.18,0.1,0.32,Sad,Gorillaz
mls,0.020000000000000018,0.27,0.03,0.23,0.26,0.21,Sad,Gorillaz
souk eye,0.0,0.21,0.05,0.26,0.21,0.26,Sad,Gorillaz
dirty harry,0.0,0.08,0.0,0.32,0.16,0.45,Sad,Gorillaz
sweepstakes,0.019999999999999962,0.21,0.03,0.28,0.11,0.37,Sad,Gorillaz
november has come,0.009999999999999981,0.07,0.23,0.23,0.2,0.27,Sad,Gorillaz
stylo,0.010000000000000009,0.15,0.15,0.24,0.2,0.27,Sad,Gorillaz
submission,0.010000000000000009,0.17,0.2,0.31,0.09,0.23,Sad,Gorillaz
white flag,0.020000000000000018,0.12,0.02,0.34,0.22,0.29,Sad,Gorillaz
busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Sad,Gorillaz
feel good inc.,0.0,0.22,0.03,0.27,0.3,0.19,Sad,Gorillaz
dead butterflies,0.010000000000000009,0.1,0.02,0.27,0.32,0.29,Sad,Gorillaz
