Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
4-may,0.08999999999999997,0.0,0.0,0.09,0.91,0.0,Surprise,Gorillaz
dirty harry,0.0,0.08,0.0,0.32,0.16,0.45,Surprise,Gorillaz
out of body,0.010000000000000009,0.03,0.07,0.17,0.36,0.37,Surprise,Gorillaz
momentary bliss,0.009999999999999981,0.12,0.05,0.42,0.18,0.23,Surprise,Gorillaz
strange timez,0.010000000000000009,0.11,0.05,0.11,0.16,0.58,Surprise,Gorillaz
some kind of nature,0.010000000000000009,0.55,0.04,0.06,0.15,0.21,Surprise,Gorillaz
jimmy jimmy,0.009999999999999981,0.2,0.09,0.22,0.17,0.33,Surprise,Gorillaz
the pink phantom,0.0,0.29,0.1,0.18,0.1,0.32,Surprise,Gorillaz
fire coming out of the monkey's head,0.0,0.13,0.12,0.35,0.15,0.25,Surprise,Gorillaz
empire ants,0.0,0.1,0.05,0.15,0.15,0.55,Surprise,Gorillaz
skinny ape,0.0,0.11,0.0,0.37,0.15,0.37,Surprise,Gorillaz
tranz,0.020000000000000018,0.0,0.0,0.22,0.17,0.61,Surprise,Gorillaz
meanwhile,0.010000000000000009,0.23,0.08,0.38,0.12,0.18,Surprise,Gorillaz
silent running,0.03,0.12,0.0,0.47,0.12,0.29,Surprise,Gorillaz
let me out,0.009999999999999981,0.22,0.0,0.44,0.14,0.19,Surprise,Gorillaz
tomorrow comes today,0.03,0.12,0.0,0.0,0.12,0.75,Surprise,Gorillaz
busted and blue,0.03,0.23,0.04,0.27,0.19,0.27,Surprise,Gorillaz
welcome to the world of the plastic beach,0.0,0.41,0.07,0.22,0.11,0.19,Surprise,Gorillaz
interlude: the non-conformist oath,0.04000000000000001,0.12,0.0,0.75,0.12,0.0,Surprise,Gorillaz
every planet we reach is dead,0.0,0.24,0.18,0.24,0.18,0.18,Surprise,Gorillaz
white flag,0.0,0.12,0.02,0.34,0.22,0.29,Surprise,Gorillaz
to binge,0.0,0.24,0.12,0.24,0.24,0.18,Surprise,Gorillaz
