Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
hold on,0.0,0.27,0.07,0.33,0.2,0.13,Angry,Little Dragon
disco dangerous,0.0,0.44,0.0,0.22,0.11,0.22,Angry,Little Dragon
slugs of love,0.0,0.55,0.04,0.28,0.0,0.13,Angry,Little Dragon
cat rider,0.0,0.16,0.05,0.19,0.22,0.38,Angry,Little Dragon
test,0.0,0.0,0.05,0.48,0.14,0.33,Angry,Little Dragon
turn left,0.010000000000000002,0.11,0.05,0.11,0.53,0.21,Angry,Little Dragon
tumbling dice,0.020000000000000004,0.25,0.07,0.29,0.14,0.25,Angry,Little Dragon
new fiction,0.020000000000000004,0.15,0.03,0.58,0.21,0.03,Angry,Little Dragon
amoban,0.020000000000000004,0.14,0.07,0.25,0.25,0.29,Angry,Little Dragon
looking glass,0.020000000000000004,0.1,0.07,0.47,0.23,0.13,Angry,Little Dragon
only one,0.0,0.0,0.08,0.33,0.42,0.17,Angry,Little Dragon
