Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
a new,0.0,0.14,0.29,0.29,0.0,0.29,Fear,Little Dragon
disco dangerous,0.0,0.44,0.0,0.22,0.11,0.22,Fear,Little Dragon
my step,0.0,0.12,0.0,0.53,0.18,0.18,Fear,Little Dragon
the pop life,0.010000000000000009,0.07,0.11,0.26,0.22,0.33,Fear,Little Dragon
amoban,0.0,0.14,0.07,0.25,0.25,0.29,Fear,Little Dragon
gold,0.010000000000000009,0.17,0.0,0.27,0.22,0.34,Fear,Little Dragon
easy falling,0.0,0.14,0.1,0.43,0.05,0.29,Fear,Little Dragon
shuffle a dream,0.0,0.05,0.0,0.34,0.32,0.29,Fear,Little Dragon
strobe light,0.0,0.14,0.19,0.3,0.11,0.27,Fear,Little Dragon
klapp klapp,0.0,0.05,0.08,0.27,0.38,0.22,Fear,Little Dragon
turn left,0.010000000000000009,0.11,0.05,0.11,0.53,0.21,Fear,Little Dragon
