Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
looking glass,0.01999999999999999,0.1,0.07,0.47,0.23,0.13,Happy,Little Dragon
my step,0.0,0.12,0.0,0.53,0.18,0.18,Happy,Little Dragon
killing me,0.010000000000000009,0.06,0.0,0.44,0.36,0.14,Happy,Little Dragon
the pop life,0.0050000000000000044,0.07,0.11,0.26,0.22,0.33,Happy,Little Dragon
wink,0.0,0.05,0.1,0.3,0.3,0.25,Happy,Little Dragon
underbart,0.0,0.06,0.09,0.24,0.24,0.38,Happy,Little Dragon
dont cry,0.0,0.1,0.0,0.45,0.15,0.3,Happy,Little Dragon
nightlight,0.03,0.13,0.0,0.22,0.17,0.48,Happy,Little Dragon
a new,0.04000000000000001,0.14,0.29,0.29,0.0,0.29,Happy,Little Dragon
twice,0.0,0.06,0.12,0.44,0.19,0.19,Happy,Little Dragon
turn left,0.009999999999999995,0.11,0.05,0.11,0.53,0.21,Happy,Little Dragon
