Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
amoban,0.09,0.14,0.07,0.25,0.25,0.29,None,Little Dragon
dont cry,0.20999999999999996,0.1,0.0,0.45,0.15,0.3,None,Little Dragon
twice,0.21,0.06,0.12,0.44,0.19,0.19,None,Little Dragon
the pop life,0.10500000000000001,0.07,0.11,0.26,0.22,0.33,None,Little Dragon
wink,0.16999999999999998,0.05,0.1,0.3,0.3,0.25,None,Little Dragon
cat rider,0.22,0.16,0.05,0.19,0.22,0.38,None,Little Dragon
gold,0.18000000000000005,0.17,0.0,0.27,0.22,0.34,None,Little Dragon
shuffle a dream,0.26,0.05,0.0,0.34,0.32,0.29,None,Little Dragon
crystalfilm,0.24999999999999992,0.0,0.08,0.42,0.21,0.29,None,Little Dragon
klapp klapp,0.25,0.05,0.08,0.27,0.38,0.22,None,Little Dragon
hold on,0.265,0.27,0.07,0.33,0.2,0.13,None,Little Dragon
