Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
tumbling dice,0.0,0.25,0.07,0.29,0.14,0.25,Sad,Little Dragon
strobe light,0.040000000000000036,0.14,0.19,0.3,0.11,0.27,Sad,Little Dragon
only one,0.0,0.0,0.08,0.33,0.42,0.17,Sad,Little Dragon
underbart,0.0,0.06,0.09,0.24,0.24,0.38,Sad,Little Dragon
should i,0.0,0.09,0.09,0.23,0.14,0.45,Sad,Little Dragon
please turn,0.0,0.1,0.1,0.14,0.29,0.38,Sad,Little Dragon
gold,0.0,0.17,0.0,0.27,0.22,0.34,Sad,Little Dragon
wink,0.0,0.05,0.1,0.3,0.3,0.25,Sad,Little Dragon
hold on,0.0,0.27,0.07,0.33,0.2,0.13,Sad,Little Dragon
shuffle a dream,0.0,0.05,0.0,0.34,0.32,0.29,Sad,Little Dragon
the pop life,0.07500000000000001,0.07,0.11,0.26,0.22,0.33,Sad,Little Dragon
