Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
cat rider,0.0,0.16,0.05,0.19,0.22,0.38,Surprise,Little Dragon
dont cry,0.0,0.1,0.0,0.45,0.15,0.3,Surprise,Little Dragon
twice,0.0,0.06,0.12,0.44,0.19,0.19,Surprise,Little Dragon
looking glass,2.7755575615628914e-17,0.1,0.07,0.47,0.23,0.13,Surprise,Little Dragon
please turn,0.0,0.1,0.1,0.14,0.29,0.38,Surprise,Little Dragon
crystalfilm,0.0,0.0,0.08,0.42,0.21,0.29,Surprise,Little Dragon
new fiction,0.0,0.15,0.03,0.58,0.21,0.03,Surprise,Little Dragon
hold on,0.0,0.27,0.07,0.33,0.2,0.13,Surprise,Little Dragon
my step,0.020000000000000018,0.12,0.0,0.53,0.18,0.18,Surprise,Little Dragon
underbart,0.0,0.06,0.09,0.24,0.24,0.38,Surprise,Little Dragon
the pop life,0.009999999999999981,0.07,0.11,0.26,0.22,0.33,Surprise,Little Dragon
