Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
the man who lives forever,0.01,0.08,0.01,0.12,0.69,0.1,Angry,Lord Huron
the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Angry,Lord Huron
dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Angry,Lord Huron
frozen pines,0.020000000000000004,0.11,0.11,0.28,0.33,0.17,Angry,Lord Huron
the problem with your daughter,0.0,0.25,0.06,0.12,0.25,0.31,Angry,Lord Huron
time to run,0.010000000000000009,0.02,0.1,0.05,0.56,0.27,Angry,Lord Huron
we went wild,0.010000000000000009,0.47,0.06,0.18,0.06,0.24,Angry,Lord Huron
son of a gun,0.0050000000000000044,0.27,0.12,0.21,0.15,0.24,Angry,Lord Huron
secret of life,0.01999999999999999,0.0,0.12,0.27,0.25,0.35,Angry,Lord Huron
louisa,0.010000000000000009,0.19,0.06,0.33,0.28,0.14,Angry,Lord Huron
the world ender,0.010000000000000009,0.09,0.06,0.34,0.26,0.26,Angry,Lord Huron
in the wind,0.020000000000000004,0.11,0.05,0.05,0.53,0.26,Angry,Lord Huron
fool for love,0.0,0.17,0.07,0.2,0.15,0.41,Angry,Lord Huron
i lied,0.020000000000000004,0.07,0.05,0.22,0.51,0.15,Angry,Lord Huron
moonbeam,0.020000000000000004,0.05,0.05,0.3,0.25,0.35,Angry,Lord Huron
mine forever,0.019999999999999997,0.12,0.04,0.2,0.4,0.24,Angry,Lord Huron
the yawning grave,0.0049999999999999975,0.04,0.04,0.25,0.29,0.39,Angry,Lord Huron
