Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Fear,Lord Huron
we went wild,0.0,0.47,0.06,0.18,0.06,0.24,Fear,Lord Huron
the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Fear,Lord Huron
in the wind,0.010000000000000009,0.11,0.05,0.05,0.53,0.26,Fear,Lord Huron
the world ender,0.0,0.09,0.06,0.34,0.26,0.26,Fear,Lord Huron
dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Fear,Lord Huron
lonesome dreams,0.0,0.08,0.02,0.28,0.43,0.19,Fear,Lord Huron
son of a gun,0.020000000000000018,0.27,0.12,0.21,0.15,0.24,Fear,Lord Huron
she lit a fire,0.0,0.0,0.07,0.07,0.67,0.19,Fear,Lord Huron
frozen pines,0.01999999999999999,0.11,0.11,0.28,0.33,0.17,Fear,Lord Huron
mine forever,0.020000000000000018,0.12,0.04,0.2,0.4,0.24,Fear,Lord Huron
the problem with your daughter,0.04999999999999999,0.25,0.06,0.12,0.25,0.31,Fear,Lord Huron
your other life,0.0,0.18,0.18,0.18,0.18,0.29,Fear,Lord Huron
drops in the lake,0.02999999999999997,0.1,0.13,0.29,0.19,0.29,Fear,Lord Huron
vide noir,0.02999999999999997,0.04,0.04,0.5,0.14,0.29,Fear,Lord Huron
hurricane (johnnies theme),0.07999999999999999,0.06,0.16,0.25,0.22,0.31,Fear,Lord Huron
never ever,0.010000000000000009,0.32,0.0,0.14,0.27,0.27,Fear,Lord Huron
