Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Happy,Lord Huron
the balancers eye,0.01999999999999999,0.13,0.1,0.2,0.27,0.3,Happy,Lord Huron
dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Happy,Lord Huron
mine forever,0.010000000000000009,0.12,0.04,0.2,0.4,0.24,Happy,Lord Huron
hurricane (johnnies theme),0.0,0.06,0.16,0.25,0.22,0.31,Happy,Lord Huron
moonbeam,0.009999999999999995,0.05,0.05,0.3,0.25,0.35,Happy,Lord Huron
i lied,0.010000000000000009,0.07,0.05,0.22,0.51,0.15,Happy,Lord Huron
the world ender,0.009999999999999995,0.09,0.06,0.34,0.26,0.26,Happy,Lord Huron
not dead yet,0.0,0.04,0.13,0.22,0.26,0.35,Happy,Lord Huron
lonesome dreams,0.0,0.08,0.02,0.28,0.43,0.19,Happy,Lord Huron
drops in the lake,0.020000000000000004,0.1,0.13,0.29,0.19,0.29,Happy,Lord Huron
in the wind,0.0,0.11,0.05,0.05,0.53,0.26,Happy,Lord Huron
vide noir,0.060000000000000005,0.04,0.04,0.5,0.14,0.29,Happy,Lord Huron
the yawning grave,0.049999999999999996,0.04,0.04,0.25,0.29,0.39,Happy,Lord Huron
wait by the river,0.04,0.04,0.04,0.17,0.67,0.08,Happy,Lord Huron
we went wild,0.38999999999999996,0.47,0.06,0.18,0.06,0.24,Happy,Lord Huron
the problem with your daughter,0.18,0.25,0.06,0.12,0.25,0.31,Happy,Lord Huron
