Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
cursed,0.48000000000000004,0.1,0.04,0.38,0.38,0.1,None,Lord Huron
the balancers eye,0.13999999999999999,0.13,0.1,0.2,0.27,0.3,None,Lord Huron
dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,None,Lord Huron
drops in the lake,0.14999999999999994,0.1,0.13,0.29,0.19,0.29,None,Lord Huron
hurricane (johnnies theme),0.15,0.06,0.16,0.25,0.22,0.31,None,Lord Huron
not dead yet,0.18999999999999997,0.04,0.13,0.22,0.26,0.35,None,Lord Huron
the world ender,0.30500000000000005,0.09,0.06,0.34,0.26,0.26,None,Lord Huron
mine forever,0.305,0.12,0.04,0.2,0.4,0.24,None,Lord Huron
secret of life,0.32999999999999996,0.0,0.12,0.27,0.25,0.35,None,Lord Huron
frozen pines,0.23,0.11,0.11,0.28,0.33,0.17,None,Lord Huron
moonbeam,0.19999999999999996,0.05,0.05,0.3,0.25,0.35,None,Lord Huron
the problem with your daughter,0.28,0.25,0.06,0.12,0.25,0.31,None,Lord Huron
fool for love,0.21000000000000002,0.17,0.07,0.2,0.15,0.41,None,Lord Huron
your other life,0.27,0.18,0.18,0.18,0.18,0.29,None,Lord Huron
the yawning grave,0.29,0.04,0.04,0.25,0.29,0.39,None,Lord Huron
lonesome dreams,0.32999999999999996,0.08,0.02,0.28,0.43,0.19,None,Lord Huron
i lied,0.395,0.07,0.05,0.22,0.51,0.15,None,Lord Huron
