Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
the problem with your daughter,0.020000000000000018,0.25,0.06,0.12,0.25,0.31,Sad,Lord Huron
not dead yet,0.0,0.04,0.13,0.22,0.26,0.35,Sad,Lord Huron
dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Sad,Lord Huron
hurricane (johnnies theme),0.010000000000000009,0.06,0.16,0.25,0.22,0.31,Sad,Lord Huron
the yawning grave,0.0,0.04,0.04,0.25,0.29,0.39,Sad,Lord Huron
wait by the river,0.0,0.04,0.04,0.17,0.67,0.08,Sad,Lord Huron
we went wild,0.009999999999999981,0.47,0.06,0.18,0.06,0.24,Sad,Lord Huron
the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Sad,Lord Huron
son of a gun,0.03999999999999998,0.27,0.12,0.21,0.15,0.24,Sad,Lord Huron
i lied,0.0,0.07,0.05,0.22,0.51,0.15,Sad,Lord Huron
secret of life,0.030000000000000027,0.0,0.12,0.27,0.25,0.35,Sad,Lord Huron
mine forever,0.0,0.12,0.04,0.2,0.4,0.24,Sad,Lord Huron
fool for love,0.0,0.17,0.07,0.2,0.15,0.41,Sad,Lord Huron
your other life,0.020000000000000018,0.18,0.18,0.18,0.18,0.29,Sad,Lord Huron
moonbeam,0.09999999999999998,0.05,0.05,0.3,0.25,0.35,Sad,Lord Huron
lonesome dreams,0.08000000000000002,0.08,0.02,0.28,0.43,0.19,Sad,Lord Huron
drops in the lake,0.06999999999999998,0.1,0.13,0.29,0.19,0.29,Sad,Lord Huron
