Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Surprise,Lord Huron
dead mans hand,0.010000000000000009,0.13,0.09,0.26,0.22,0.3,Surprise,Lord Huron
hurricane (johnnies theme),0.0,0.06,0.16,0.25,0.22,0.31,Surprise,Lord Huron
the problem with your daughter,0.03,0.25,0.06,0.12,0.25,0.31,Surprise,Lord Huron
drops in the lake,0.03,0.1,0.13,0.29,0.19,0.29,Surprise,Lord Huron
moonbeam,0.01999999999999999,0.05,0.05,0.3,0.25,0.35,Surprise,Lord Huron
the world ender,0.025000000000000022,0.09,0.06,0.34,0.26,0.26,Surprise,Lord Huron
not dead yet,0.03,0.04,0.13,0.22,0.26,0.35,Surprise,Lord Huron
twenty long years,0.0,0.0,0.19,0.36,0.24,0.21,Surprise,Lord Huron
the balancers eye,0.020000000000000018,0.13,0.1,0.2,0.27,0.3,Surprise,Lord Huron
secret of life,0.0,0.0,0.12,0.27,0.25,0.35,Surprise,Lord Huron
the yawning grave,0.03999999999999998,0.04,0.04,0.25,0.29,0.39,Surprise,Lord Huron
your other life,0.009999999999999981,0.18,0.18,0.18,0.18,0.29,Surprise,Lord Huron
son of a gun,0.05000000000000002,0.27,0.12,0.21,0.15,0.24,Surprise,Lord Huron
vide noir,0.10999999999999999,0.04,0.04,0.5,0.14,0.29,Surprise,Lord Huron
mine forever,0.14,0.12,0.04,0.2,0.4,0.24,Surprise,Lord Huron
never ever,0.04000000000000001,0.32,0.0,0.14,0.27,0.27,Surprise,Lord Huron
