Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
little secrets,0.0,0.15,0.15,0.24,0.29,0.18,Angry,Passion Pit
the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Angry,Passion Pit
whole life story,0.0,0.03,0.1,0.41,0.21,0.24,Angry,Passion Pit
all i want,0.0,0.08,0.08,0.25,0.08,0.5,Angry,Passion Pit
where the sky hangs,0.0,0.06,0.06,0.55,0.21,0.12,Angry,Passion Pit
to kingdom come,0.0,0.02,0.11,0.41,0.22,0.24,Angry,Passion Pit
make light,0.0,0.04,0.07,0.54,0.04,0.32,Angry,Passion Pit
moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Angry,Passion Pit
where we belong,0.009999999999999995,0.14,0.11,0.25,0.18,0.32,Angry,Passion Pit
hideaway,0.03,0.21,0.12,0.21,0.12,0.33,Angry,Passion Pit
better things,0.01999999999999999,0.04,0.12,0.24,0.29,0.31,Angry,Passion Pit
let your love grow tall,0.03,0.16,0.06,0.19,0.12,0.47,Angry,Passion Pit
american blood,0.020000000000000004,0.18,0.06,0.24,0.06,0.47,Angry,Passion Pit
