Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ill be alright,0.0,0.15,0.19,0.33,0.04,0.3,Fear,Passion Pit
where we belong,0.0,0.14,0.11,0.25,0.18,0.32,Fear,Passion Pit
dreams,0.0,0.12,0.0,0.38,0.25,0.25,Fear,Passion Pit
make light,0.0,0.04,0.07,0.54,0.04,0.32,Fear,Passion Pit
looks like rain,0.010000000000000009,0.1,0.29,0.24,0.14,0.24,Fear,Passion Pit
carried away,0.0,0.09,0.15,0.38,0.12,0.25,Fear,Passion Pit
better things,0.010000000000000009,0.04,0.12,0.24,0.29,0.31,Fear,Passion Pit
whole life story,0.015000000000000013,0.03,0.1,0.41,0.21,0.24,Fear,Passion Pit
eyes as candles,0.019999999999999962,0.02,0.05,0.29,0.36,0.29,Fear,Passion Pit
smile upon me,0.02999999999999997,0.46,0.04,0.23,0.0,0.27,Fear,Passion Pit
hideaway,0.06,0.21,0.12,0.21,0.12,0.33,Fear,Passion Pit
take a walk,0.07,0.1,0.18,0.26,0.1,0.36,Fear,Passion Pit
to kingdom come,0.030000000000000027,0.02,0.11,0.41,0.22,0.24,Fear,Passion Pit
