Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
little secrets,0.0,0.15,0.15,0.24,0.29,0.18,Happy,Passion Pit
the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Happy,Passion Pit
moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Happy,Passion Pit
all i want,0.009999999999999995,0.08,0.08,0.25,0.08,0.5,Happy,Passion Pit
looks like rain,0.010000000000000009,0.1,0.29,0.24,0.14,0.24,Happy,Passion Pit
cuddle fuddle,0.0,0.06,0.06,0.42,0.33,0.12,Happy,Passion Pit
carried away,0.009999999999999995,0.09,0.15,0.38,0.12,0.25,Happy,Passion Pit
sleepyhead,0.009999999999999995,0.07,0.13,0.47,0.2,0.13,Happy,Passion Pit
ill be alright,0.0,0.15,0.19,0.33,0.04,0.3,Happy,Passion Pit
where we belong,0.009999999999999981,0.14,0.11,0.25,0.18,0.32,Happy,Passion Pit
let your love grow tall,0.010000000000000009,0.16,0.06,0.19,0.12,0.47,Happy,Passion Pit
take a walk,0.014999999999999986,0.1,0.18,0.26,0.1,0.36,Happy,Passion Pit
dreams,0.020000000000000018,0.12,0.0,0.38,0.25,0.25,Happy,Passion Pit
