Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
where we belong,0.13,0.14,0.11,0.25,0.18,0.32,None,Passion Pit
the reeling,0.12,0.17,0.08,0.17,0.21,0.38,None,Passion Pit
carried away,0.10999999999999999,0.09,0.15,0.38,0.12,0.25,None,Passion Pit
better things,0.18999999999999997,0.04,0.12,0.24,0.29,0.31,None,Passion Pit
my brother taught me how to swim,0.22999999999999998,0.11,0.15,0.35,0.2,0.19,None,Passion Pit
whole life story,0.15999999999999998,0.03,0.1,0.41,0.21,0.24,None,Passion Pit
constant conversations,0.2300000000000001,0.2,0.03,0.31,0.11,0.34,None,Passion Pit
to kingdom come,0.16499999999999998,0.02,0.11,0.41,0.22,0.24,None,Passion Pit
ill be alright,0.24,0.15,0.19,0.33,0.04,0.3,None,Passion Pit
hideaway,0.17000000000000004,0.21,0.12,0.21,0.12,0.33,None,Passion Pit
take a walk,0.26999999999999996,0.1,0.18,0.26,0.1,0.36,None,Passion Pit
looks like rain,0.32499999999999996,0.1,0.29,0.24,0.14,0.24,None,Passion Pit
dreams,0.24000000000000007,0.12,0.0,0.38,0.25,0.25,None,Passion Pit
