Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
hideaway,0.010000000000000009,0.21,0.12,0.21,0.12,0.33,Surprise,Passion Pit
the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Surprise,Passion Pit
moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Surprise,Passion Pit
sleepyhead,0.0,0.07,0.13,0.47,0.2,0.13,Surprise,Passion Pit
my brother taught me how to swim,0.020000000000000018,0.11,0.15,0.35,0.2,0.19,Surprise,Passion Pit
carried away,0.0,0.09,0.15,0.38,0.12,0.25,Surprise,Passion Pit
constant conversations,0.009999999999999995,0.2,0.03,0.31,0.11,0.34,Surprise,Passion Pit
where the sky hangs,0.03,0.06,0.06,0.55,0.21,0.12,Surprise,Passion Pit
let your love grow tall,0.0,0.16,0.06,0.19,0.12,0.47,Surprise,Passion Pit
take a walk,0.01999999999999999,0.1,0.18,0.26,0.1,0.36,Surprise,Passion Pit
somewhere up there,0.010000000000000009,0.24,0.06,0.21,0.12,0.38,Surprise,Passion Pit
looks like rain,0.010000000000000009,0.1,0.29,0.24,0.14,0.24,Surprise,Passion Pit
to kingdom come,0.0,0.02,0.11,0.41,0.22,0.24,Surprise,Passion Pit
