Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
music to walk home by,0.0,0.22,0.13,0.22,0.22,0.22,Fear,Tame Impala
let it happen,0.0,0.4,0.0,0.25,0.1,0.25,Fear,Tame Impala
mind mischief,0.0,0.27,0.06,0.06,0.33,0.27,Fear,Tame Impala
the less i know the better,0.0,0.22,0.04,0.19,0.33,0.22,Fear,Tame Impala
forty one mosquitoes flying in formation,0.0,0.05,0.3,0.2,0.2,0.25,Fear,Tame Impala
elephant,0.0,0.13,0.07,0.4,0.2,0.2,Fear,Tame Impala
"new person, same old mistakes",0.0,0.04,0.11,0.46,0.2,0.2,Fear,Tame Impala
expectation,0.01999999999999999,0.06,0.06,0.31,0.36,0.22,Fear,Tame Impala
solitude is bliss,0.03,0.39,0.0,0.18,0.18,0.25,Fear,Tame Impala
lost in yesterday,0.01999999999999999,0.14,0.04,0.5,0.07,0.25,Fear,Tame Impala
apocalypse dreams,0.03999999999999998,0.29,0.0,0.21,0.21,0.29,Fear,Tame Impala
alter ego,0.01999999999999999,0.08,0.46,0.15,0.08,0.23,Fear,Tame Impala
cause im a man,0.0,0.25,0.04,0.33,0.08,0.29,Fear,Tame Impala
