Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
elephant,0.0,0.13,0.07,0.4,0.2,0.2,Happy,Tame Impala
solitude is bliss,0.0,0.39,0.0,0.18,0.18,0.25,Happy,Tame Impala
mind mischief,0.0,0.27,0.06,0.06,0.33,0.27,Happy,Tame Impala
cause im a man,0.0,0.25,0.04,0.33,0.08,0.29,Happy,Tame Impala
it is not meant to be,0.0,0.25,0.0,0.29,0.17,0.29,Happy,Tame Impala
on track,0.010000000000000009,0.14,0.06,0.28,0.08,0.44,Happy,Tame Impala
lost in yesterday,0.010000000000000009,0.14,0.04,0.5,0.07,0.25,Happy,Tame Impala
sundown syndrome,0.0,0.13,0.22,0.37,0.13,0.15,Happy,Tame Impala
patience,0.04000000000000001,0.09,0.05,0.23,0.23,0.41,Happy,Tame Impala
one more year,0.020000000000000004,0.13,0.0,0.16,0.03,0.68,Happy,Tame Impala
lucidity,0.015,0.08,0.23,0.23,0.15,0.31,Happy,Tame Impala
breathe deeper,0.04000000000000001,0.09,0.09,0.53,0.12,0.16,Happy,Tame Impala
reality in motion,0.11,0.0,0.05,0.54,0.12,0.29,Happy,Tame Impala
