Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
it is not meant to be,0.21999999999999995,0.25,0.0,0.29,0.17,0.29,None,Tame Impala
let it happen,0.010000000000000009,0.4,0.0,0.25,0.1,0.25,None,Tame Impala
apocalypse dreams,0.15999999999999992,0.29,0.0,0.21,0.21,0.29,None,Tame Impala
solitude is bliss,0.22,0.39,0.0,0.18,0.18,0.25,None,Tame Impala
music to walk home by,0.19,0.22,0.13,0.22,0.22,0.22,None,Tame Impala
elephant,0.13,0.13,0.07,0.4,0.2,0.2,None,Tame Impala
"new person, same old mistakes",0.24000000000000005,0.04,0.11,0.46,0.2,0.2,None,Tame Impala
sundown syndrome,0.27,0.13,0.22,0.37,0.13,0.15,None,Tame Impala
the less i know the better,0.27,0.22,0.04,0.19,0.33,0.22,None,Tame Impala
patience,0.32,0.09,0.05,0.23,0.23,0.41,None,Tame Impala
lucidity,0.30500000000000005,0.08,0.23,0.23,0.15,0.31,None,Tame Impala
cause im a man,0.32,0.25,0.04,0.33,0.08,0.29,None,Tame Impala
on track,0.31000000000000005,0.14,0.06,0.28,0.08,0.44,None,Tame Impala
