Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
it is not meant to be,0.0,0.25,0.0,0.29,0.17,0.29,Surprise,Tame Impala
let it happen,0.0,0.4,0.0,0.25,0.1,0.25,Surprise,Tame Impala
solitude is bliss,0.009999999999999981,0.39,0.0,0.18,0.18,0.25,Surprise,Tame Impala
cause im a man,0.05,0.25,0.04,0.33,0.08,0.29,Surprise,Tame Impala
elephant,0.03,0.13,0.07,0.4,0.2,0.2,Surprise,Tame Impala
"new person, same old mistakes",0.0,0.04,0.11,0.46,0.2,0.2,Surprise,Tame Impala
patience,0.03,0.09,0.05,0.23,0.23,0.41,Surprise,Tame Impala
sundown syndrome,0.04999999999999999,0.13,0.22,0.37,0.13,0.15,Surprise,Tame Impala
be above it,0.0,0.18,0.0,0.64,0.18,0.0,Surprise,Tame Impala
forty one mosquitoes flying in formation,0.020000000000000018,0.05,0.3,0.2,0.2,0.25,Surprise,Tame Impala
half full glass of wine,0.020000000000000018,0.05,0.4,0.15,0.2,0.2,Surprise,Tame Impala
breathe deeper,0.010000000000000009,0.09,0.09,0.53,0.12,0.16,Surprise,Tame Impala
reality in motion,0.010000000000000009,0.0,0.05,0.54,0.12,0.29,Surprise,Tame Impala
