Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
mary's song (oh my my my),0.0,0.5,0.05,0.2,0.15,0.1,Angry,Taylor Swift
ours,0.0,0.21,0.08,0.3,0.17,0.24,Angry,Taylor Swift
the lakes,0.0049999999999999975,0.16,0.06,0.26,0.19,0.32,Angry,Taylor Swift
you need to calm down,0.0,0.4,0.1,0.27,0.17,0.07,Angry,Taylor Swift
coney island,0.0,0.19,0.07,0.35,0.16,0.23,Angry,Taylor Swift
sad beautiful tragic,0.0,0.37,0.02,0.25,0.26,0.11,Angry,Taylor Swift
'tis the damn season,0.0,0.19,0.03,0.42,0.16,0.19,Angry,Taylor Swift
gold rush,0.0049999999999999906,0.26,0.08,0.19,0.28,0.19,Angry,Taylor Swift
the best day,0.0,0.21,0.05,0.34,0.18,0.21,Angry,Taylor Swift
call it what you want,0.010000000000000009,0.18,0.06,0.24,0.09,0.42,Angry,Taylor Swift
22,0.0,0.22,0.06,0.17,0.19,0.36,Angry,Taylor Swift
i can do it with a broken heart,0.01999999999999999,0.15,0.09,0.31,0.27,0.18,Angry,Taylor Swift
vigilante shit,0.0,0.23,0.06,0.23,0.26,0.23,Angry,Taylor Swift
how did it end?,0.0,0.17,0.04,0.33,0.25,0.21,Angry,Taylor Swift
the smallest man who ever lived,0.0,0.18,0.11,0.18,0.21,0.32,Angry,Taylor Swift
