Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
gold rush,0.0,0.26,0.08,0.19,0.28,0.19,Fear,Taylor Swift
'tis the damn season,0.0,0.19,0.03,0.42,0.16,0.19,Fear,Taylor Swift
snow on the beach,0.0,0.31,0.06,0.31,0.06,0.25,Fear,Taylor Swift
the best day,0.0,0.21,0.05,0.34,0.18,0.21,Fear,Taylor Swift
innocent,0.010000000000000009,0.18,0.09,0.33,0.22,0.18,Fear,Taylor Swift
how did it end?,0.0,0.17,0.04,0.33,0.25,0.21,Fear,Taylor Swift
the lucky one,0.0,0.59,0.0,0.12,0.12,0.16,Fear,Taylor Swift
fifteen,0.0,0.24,0.09,0.15,0.24,0.29,Fear,Taylor Swift
the great war,0.0,0.21,0.05,0.34,0.18,0.21,Fear,Taylor Swift
i can do it with a broken heart,0.010000000000000009,0.15,0.09,0.31,0.27,0.18,Fear,Taylor Swift
fortnight,0.0,0.15,0.03,0.49,0.15,0.18,Fear,Taylor Swift
you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Fear,Taylor Swift
i think he knows,0.010000000000000009,0.33,0.02,0.29,0.16,0.2,Fear,Taylor Swift
dancing with our hands tied,0.010000000000000009,0.28,0.08,0.32,0.12,0.2,Fear,Taylor Swift
enchanted,0.0,0.33,0.06,0.14,0.27,0.2,Fear,Taylor Swift
