Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
lover,0.0,0.24,0.03,0.31,0.14,0.28,Happy,Taylor Swift
fortnight,0.09999999999999999,0.15,0.03,0.49,0.15,0.18,Happy,Taylor Swift
i can do it with a broken heart,0.0,0.15,0.09,0.31,0.27,0.18,Happy,Taylor Swift
the last great american dynasty,0.03,0.15,0.02,0.34,0.32,0.17,Happy,Taylor Swift
the story of us,0.039999999999999994,0.15,0.03,0.24,0.24,0.33,Happy,Taylor Swift
tim mcgraw,0.0,0.22,0.02,0.22,0.07,0.48,Happy,Taylor Swift
champagne problems,0.039999999999999994,0.15,0.02,0.31,0.08,0.44,Happy,Taylor Swift
the lakes,0.05,0.16,0.06,0.26,0.19,0.32,Happy,Taylor Swift
22,0.0,0.22,0.06,0.17,0.19,0.36,Happy,Taylor Swift
"no body, no crime",0.03,0.16,0.03,0.24,0.03,0.54,Happy,Taylor Swift
cowboy like me,0.010000000000000009,0.23,0.05,0.14,0.21,0.37,Happy,Taylor Swift
how did it end?,0.06000000000000001,0.17,0.04,0.33,0.25,0.21,Happy,Taylor Swift
starlight,0.039999999999999994,0.15,0.13,0.35,0.13,0.24,Happy,Taylor Swift
bejeweled,0.009999999999999981,0.15,0.0,0.32,0.19,0.34,Happy,Taylor Swift
blank space,0.03,0.17,0.05,0.18,0.31,0.29,Happy,Taylor Swift
