Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
karma (remix),0.15,0.23,0.05,0.27,0.18,0.27,None,Taylor Swift
'tis the damn season,0.24000000000000002,0.19,0.03,0.42,0.16,0.19,None,Taylor Swift
the lakes,0.10500000000000001,0.16,0.06,0.26,0.19,0.32,None,Taylor Swift
starlight,0.12999999999999998,0.15,0.13,0.35,0.13,0.24,None,Taylor Swift
ours,0.23999999999999994,0.21,0.08,0.3,0.17,0.24,None,Taylor Swift
back to december,0.04000000000000001,0.26,0.02,0.23,0.28,0.21,None,Taylor Swift
the great war,0.26,0.21,0.05,0.34,0.18,0.21,None,Taylor Swift
the story of us,0.14500000000000002,0.15,0.03,0.24,0.24,0.33,None,Taylor Swift
the best day,0.2,0.21,0.05,0.34,0.18,0.21,None,Taylor Swift
i can do it with a broken heart,0.17,0.15,0.09,0.31,0.27,0.18,None,Taylor Swift
vigilante shit,0.14,0.23,0.06,0.23,0.26,0.23,None,Taylor Swift
innocent,0.19,0.18,0.09,0.33,0.22,0.18,None,Taylor Swift
coney island,0.23,0.19,0.07,0.35,0.16,0.23,None,Taylor Swift
how did it end?,0.12000000000000002,0.17,0.04,0.33,0.25,0.21,None,Taylor Swift
gold rush,0.17999999999999997,0.26,0.08,0.19,0.28,0.19,None,Taylor Swift
