Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
tim mcgraw,0.0,0.22,0.02,0.22,0.07,0.48,Sad,Taylor Swift
peter,0.0,0.18,0.12,0.44,0.15,0.12,Sad,Taylor Swift
the lakes,0.0,0.16,0.06,0.26,0.19,0.32,Sad,Taylor Swift
i can do it with a broken heart,0.0,0.15,0.09,0.31,0.27,0.18,Sad,Taylor Swift
invisible,0.0,0.32,0.0,0.28,0.16,0.24,Sad,Taylor Swift
vigilante shit,0.0,0.23,0.06,0.23,0.26,0.23,Sad,Taylor Swift
question...?,0.009999999999999953,0.2,0.07,0.29,0.1,0.34,Sad,Taylor Swift
the way you love me,0.0,0.47,0.03,0.22,0.21,0.07,Sad,Taylor Swift
you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Sad,Taylor Swift
down bad,0.0,0.5,0.1,0.25,0.0,0.15,Sad,Taylor Swift
call it what you want,0.0,0.18,0.06,0.24,0.09,0.42,Sad,Taylor Swift
love story,0.0,0.26,0.15,0.24,0.21,0.15,Sad,Taylor Swift
cruel summer,0.0,0.24,0.03,0.26,0.29,0.18,Sad,Taylor Swift
i think he knows,0.0,0.33,0.02,0.29,0.16,0.2,Sad,Taylor Swift
gold rush,0.0,0.26,0.08,0.19,0.28,0.19,Sad,Taylor Swift
