Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
ours,0.0,0.21,0.08,0.3,0.17,0.24,Surprise,Taylor Swift
the best day,0.010000000000000009,0.21,0.05,0.34,0.18,0.21,Surprise,Taylor Swift
the way you love me,0.0,0.47,0.03,0.22,0.21,0.07,Surprise,Taylor Swift
starlight,0.0,0.15,0.13,0.35,0.13,0.24,Surprise,Taylor Swift
you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Surprise,Taylor Swift
labyrinth,0.0,0.42,0.0,0.14,0.28,0.16,Surprise,Taylor Swift
fortnight,0.0,0.15,0.03,0.49,0.15,0.18,Surprise,Taylor Swift
fifteen,0.0,0.24,0.09,0.15,0.24,0.29,Surprise,Taylor Swift
fresh out the slammer,0.0,0.26,0.04,0.22,0.11,0.37,Surprise,Taylor Swift
love story,0.0,0.26,0.15,0.24,0.21,0.15,Surprise,Taylor Swift
the lakes,0.0,0.16,0.06,0.26,0.19,0.32,Surprise,Taylor Swift
innocent,0.010000000000000009,0.18,0.09,0.33,0.22,0.18,Surprise,Taylor Swift
lover,0.009999999999999981,0.24,0.03,0.31,0.14,0.28,Surprise,Taylor Swift
the story of us,0.01999999999999999,0.15,0.03,0.24,0.24,0.33,Surprise,Taylor Swift
tolerate it,0.0,0.23,0.14,0.19,0.3,0.14,Surprise,Taylor Swift
