Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
young liars,0.0,0.07,0.1,0.33,0.2,0.3,Angry,TV on the Radio
hours,0.0,0.14,0.09,0.27,0.23,0.27,Angry,TV on the Radio
dancing choose,0.0,0.08,0.14,0.08,0.29,0.41,Angry,TV on the Radio
wash the day,0.0,0.12,0.16,0.29,0.08,0.35,Angry,TV on the Radio
dry drunk emperor,0.010000000000000009,0.12,0.14,0.4,0.1,0.24,Angry,TV on the Radio
red dress,0.0,0.11,0.11,0.25,0.19,0.34,Angry,TV on the Radio
lover's day,0.0,0.12,0.11,0.41,0.16,0.2,Angry,TV on the Radio
could you,0.0,0.24,0.12,0.22,0.14,0.27,Angry,TV on the Radio
tonight,0.009999999999999995,0.31,0.1,0.21,0.17,0.21,Angry,TV on the Radio
killer crane,0.009999999999999995,0.12,0.12,0.24,0.24,0.27,Angry,TV on the Radio
dlz,0.0,0.12,0.08,0.21,0.23,0.37,Angry,TV on the Radio
let the devil in,0.0,0.11,0.08,0.19,0.47,0.14,Angry,TV on the Radio
