Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
young liars,0.0,0.07,0.1,0.33,0.2,0.3,Fear,TV on the Radio
the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Fear,TV on the Radio
halfway home,0.010000000000000009,0.03,0.13,0.3,0.27,0.27,Fear,TV on the Radio
dreams,0.0050000000000000044,0.15,0.07,0.3,0.15,0.33,Fear,TV on the Radio
could you,0.0,0.24,0.12,0.22,0.14,0.27,Fear,TV on the Radio
hours,0.0,0.14,0.09,0.27,0.23,0.27,Fear,TV on the Radio
crying,0.010000000000000009,0.04,0.25,0.21,0.21,0.29,Fear,TV on the Radio
test pilot,0.019999999999999962,0.25,0.0,0.25,0.22,0.28,Fear,TV on the Radio
wear you out,0.0,0.08,0.05,0.23,0.31,0.33,Fear,TV on the Radio
red dress,0.0,0.11,0.11,0.25,0.19,0.34,Fear,TV on the Radio
dlz,0.0,0.12,0.08,0.21,0.23,0.37,Fear,TV on the Radio
happy idiot,0.019999999999999962,0.14,0.19,0.19,0.14,0.35,Fear,TV on the Radio
