Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
young liars,0.0,0.07,0.1,0.33,0.2,0.3,Happy,TV on the Radio
the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Happy,TV on the Radio
dancing choose,0.0049999999999999906,0.08,0.14,0.08,0.29,0.41,Happy,TV on the Radio
second song,0.0,0.14,0.17,0.34,0.0,0.34,Happy,TV on the Radio
i was a lover,0.0,0.11,0.0,0.43,0.14,0.32,Happy,TV on the Radio
wolf like me,0.0,0.1,0.08,0.25,0.35,0.21,Happy,TV on the Radio
love stained,0.0,0.1,0.08,0.37,0.2,0.24,Happy,TV on the Radio
trouble,0.0,0.09,0.07,0.47,0.24,0.13,Happy,TV on the Radio
stork & owl,0.0050000000000000044,0.09,0.09,0.38,0.06,0.38,Happy,TV on the Radio
wear you out,0.009999999999999995,0.08,0.05,0.23,0.31,0.33,Happy,TV on the Radio
repetition,0.009999999999999995,0.07,0.05,0.12,0.27,0.49,Happy,TV on the Radio
let the devil in,0.009999999999999995,0.11,0.08,0.19,0.47,0.14,Happy,TV on the Radio
