Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
young liars,0.0,0.07,0.1,0.33,0.2,0.3,None,TV on the Radio
the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,None,TV on the Radio
killer crane,0.125,0.12,0.12,0.24,0.24,0.27,None,TV on the Radio
happy idiot,0.054999999999999966,0.14,0.19,0.19,0.14,0.35,None,TV on the Radio
red dress,0.135,0.11,0.11,0.25,0.19,0.34,None,TV on the Radio
hours,0.12000000000000004,0.14,0.09,0.27,0.23,0.27,None,TV on the Radio
blues from down here,0.16000000000000006,0.04,0.16,0.27,0.2,0.33,None,TV on the Radio
dlz,0.21000000000000002,0.12,0.08,0.21,0.23,0.37,None,TV on the Radio
dreams,0.19499999999999998,0.15,0.07,0.3,0.15,0.33,None,TV on the Radio
wear you out,0.2,0.08,0.05,0.23,0.31,0.33,None,TV on the Radio
right now,0.19999999999999998,0.12,0.0,0.23,0.23,0.42,None,TV on the Radio
wolf like me,0.24,0.1,0.08,0.25,0.35,0.21,None,TV on the Radio
