Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
young liars,0.0,0.07,0.1,0.33,0.2,0.3,Sad,TV on the Radio
the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Sad,TV on the Radio
forgotten,0.0,0.35,0.1,0.19,0.06,0.29,Sad,TV on the Radio
dlz,0.009999999999999981,0.12,0.08,0.21,0.23,0.37,Sad,TV on the Radio
could you,0.0,0.24,0.12,0.22,0.14,0.27,Sad,TV on the Radio
test pilot,0.0,0.25,0.0,0.25,0.22,0.28,Sad,TV on the Radio
wolf like me,0.0,0.1,0.08,0.25,0.35,0.21,Sad,TV on the Radio
red dress,0.0,0.11,0.11,0.25,0.19,0.34,Sad,TV on the Radio
killer crane,0.010000000000000009,0.12,0.12,0.24,0.24,0.27,Sad,TV on the Radio
tonight,0.010000000000000009,0.31,0.1,0.21,0.17,0.21,Sad,TV on the Radio
right now,0.010000000000000009,0.12,0.0,0.23,0.23,0.42,Sad,TV on the Radio
wear you out,0.010000000000000009,0.08,0.05,0.23,0.31,0.33,Sad,TV on the Radio
